E	ee0 
ENUNCIATION	een0 nan0 si1 ee0 chan0
ENUNCIATIONS	een0 nan0 si1 ee0 chan0
ENUNCIATIVE	een0 nan0 si1iee3 thiif1
ENUNCIATIVELY	een0 nan0 si1iee3 thiif1 lii2
ENUNCIATOR	een0 nan0 si1 eet3 tqq2
ENUNCIATORS	een0 nan0 si1 eet3 tqq2
ENUNCIATORY	een0 nan0 si1 ee3 thql0 rii2
ENURE	een0 juua0
ENURED	een0 juuat1
ENURES	een0 juuas2
ENURESES	een0 juua2 ses1
ENURETIC	een0 juua0 ra1 thik1
ENURING	een0 juua0 ring2
ENVELOPE	een0 weel0 loop1
ENVELOPED	een0 weel0 lqp1
ENVELOPER	een0 wql0 l@@0 pqq2
ENVELOPERS	een0 wql0 l@@0 pqq2
ENVELOPES	een0 wql0 loop1
ENVELOPING	een0 weel0 l@@p1 ping2
ENVELOPMENT	een0 weel0 l@@p1 men3
ENVELOPMENTS	een0 weel0 l@@p1 men3
ENVELOPS	een0 weel0 loop1
ENVENOM	een0 ween0 n@m2
ENVENOMED	een0 ween0 n@m1
ENVENOMING	een0 ween0 nql0 ming2
ENVENOMIZATION	een0 ween0 nql0 maaj3 see0 chan0
ENVENOMS	een0 ween0 n@m2
ENVENTUALLY	een0 ween3 chuual0 lii2
ENVIABLE	een0 wiia0 bql2
ENVIABLENESS	een0 wiia0 bql2 nees1
ENVIED	een0 wit3
ENVIER	een0 wiia0
ENVIERS	een0 wiias2
ENVIES	een0 wis3
ENVIOUS	een0 wiias2
ENVIOUSLY	een0 wiias2 lii2
ENVIOUSNESS	een0 wiias3 nees1
ENVIRON	een0 waaj0 rqn2
ENVIRONAGE	een0 waaj0 rqn2 nic1
ENVIRONAL	een0 waaj0 rql0 nql2
ENVIRONED	een0 waaj0 ren3
ENVIRONET	een0 waaj0 rql0 net1
ENVIRONING	een0 waaj0 rql0 ning2
ENVIRONMENT	een0 waaj0 rql0 men3
ENVIRONMENTAL	een0 waaj0 rql0 men0 thql2
ENVIRONMENTALISM	een0 waaj0 rql0 men0 thql0 lis3 svm2
ENVIRONMENTALIST	een0 waaj0 rql0 men0 thql0 lis3
ENVIRONMENTALISTS	een0 waaj0 rql0 men0 thql0 lis3
ENVIRONMENTALITY	een0 waaj0 rql0 men0 th@l2 li3 tii2
ENVIRONMENTALLY	een0 waaj0 rql0 men0 thql2 lii2
ENVIRONMENTALS	een0 waaj0 rql0 men0 thql2
ENVIRONMENTLY	een0 waaj0 rql0 mqn2 lii2
ENVIRONMENTS	een0 waaj0 rql0 men3
ENVIRONS	een0 waaj0 rqn2
ENVIROS	een0 waaj0 roos2
ENVIROSOFT	een0 waaj0 r@@s3 s@f3 
ENVISAGE	een0 wi3 sic1
ENVISAGED	een0 wi3 sic1
ENVISAGES	een0 wi3 si1 cis1
ENVISAGING	een0 wi3 si1 cing2
ENVISION	een0 wi3 chan0
ENVISIONED	een0 wi3 chan0
ENVISIONING	een0 wi3 chan0 ning2
ENVISIONS	een0 wi3 chan0
ENVOI	een0 w@@j0
ENVOIS	een0 w@@j3
ENVOY	een0 w@@j0
ENVOYS	een0 w@@j3
ENVY	een0 wii2
ENVYING	een0 wi3 ing2
ENWRAP	een0 rxp3
ENWRAPMENT	een0 rxp3 men3
ENWRAPPED	een0 rxp3
ENWRAPPING	een0 rxp3 ping2
ENWRAPS	een0 rxp3
ENWREATHE	een0 riit1
ENZOIC	een0 s@@0 ik1
ENZYME	een0 saaj0
ENZYMES	een0 saaj0
ENZYMOSIS	een0 saaj0 m@@0 sis1
ENZYMOTIC	een0 saaj0 m@@0 thik1
EOCENE	ii0 @@0 siin0
EOLIAN	ii0 @@0 liian2
EOLITH	ii0 @@0 lit3
EOLITHIC	ii0 @@0 li3 thik1
EOLITHS	ii0 @@0 lit3
EONIAN	ii0 qn2 niian2
EPACT	ii0 phxk3
EPACTAL	ii0 phxk3 tql2
EPARCH	ii0 phaak3
EPARCHY	ii0 phaak3 kii2
EPAULET	ii0 phql0 let1
EPAULETED	ii0 phql0 le1 thet1
EPAULETS	ii0 phql0 let1
EPAULETTE	ii0 phql0 let1
EPAULETTED	ii0 phql0 le1 thet1
EPAULETTES	ii0 phql0 let1
EPAULMENT	ii0 phoo0 men3
EPENSES	ii0 pheen0 ses1
EPENTHESES	ii0 pheen0 this3 sii2
EPENTHESIS	ii0 pheen0 this3 sis1
EPENTHESIZE	ii0 pheen0 thql0 saj3
EPENTHETIC	ii0 pheen0 thee3 tik1
EPERGNE	ii0 phqqn0
EPERGNES	ii0 phqqn0
EPEXEGESIS	ii0 phek3 si1 cii0 sis1
EPEXEGETIC	ii0 phek3 si1 cet3 thik1
EPEXEGETICAL	ii0 phek3 si1 cet3 thi1 khql2
EPEXEGETICALLY	ii0 phek3 si1 cet3 thi1 kh@l2 lii2
EPHAH	ii0 fqq2
EPHEMERA	ii0 fee0 mql0 rqq2
EPHEMERAL	ii0 fee0 mql0 rql2
EPHEMERALLY	ii0 fee0 mql0 rql2 lii2
EPHEMERALNESS	ii0 fee0 mql0 rql0 nees1
EPHEMERALS	ii0 fee0 mql0 rql2
EPHEMERAS	ii0 fee0 mql0 rqqs2
EPHEMERIDA	ii0 fee0 mql0 ri3 dqq2
EPHEMERIDES	ii0 fee0 mql0 ri3 dii2
EPHEMERIS	ii0 fee0 mql0 ris1
EPHEMERIST	ii0 fee0 mql0 ris3
EPHEMERON	ii0 fee0 mql0 r@@n2
EPHEMEROUS	ii0 fee0 mql0 rqqs2
EPHEMERUS	ii0 fee0 mql0 rqqs2
EPHEREMOUS	ii0 fee0 mql0 rqqs2
EPHESIAN	ii0 fii0 chiian2
EPHESIANS	ii0 fii0 chiian2
EPHOD	ii0 f@@t1
EPIBLAST	ii0 phi1 blxs3
EPIBLASTIC	ii0 phi1 blxs3 tik1
EPIC	ii0 phik1
EPICAL	ii0 phi3 khql2
EPICALLY	ii0 phi3 khql2 lii2
EPICENE	ii0 phis3 siin0
EPICENES	ii0 phis3 siin0
EPICENTER	ii0 phis3 sen0 tqq2
EPICENTERS	ii0 phis3 sen0 tqq2
EPICENTRAL	ii0 phis3 sen0 thrql2
EPICENTRE	ii0 phis3 sen0 tqq2
EPICENTRES	ii0 phis3 sen0 tqq2
EPICENTRUM	ii0 phis3 sen0 thr@m2
EPICES	ii0 phik1
EPICISM	ii0 phis3 sis3 svm2
EPICIST	ii0 phis3 ses1
EPICONE	ii0 phi1 khwan0
EPICS	ii0 phik1
EPICURE	ii0 phi3 juua0
EPICUREAN	ii0 phi1 khiw0 riian2
EPICUREANS	ii0 phi1 khiw0 riian2
EPICURES	ii0 phi3 khiw0
EPICURISM	ii0 phi3 khiw0 ris3 svm2
EPICYCLE	ii0 phis3 saj3 khql2
EPICYCLES	ii0 phis3 saj3 kql2
EPICYCLIC	ii0 phis3 saj3 khlik1
EPICYCLICAL	ii0 phis3 saj3 khli3 khql2
EPICYCLICALLY	ii0 phis3 saj3 khli3 khql2 lii2
EPICYCLOID	ii0 phis3 saj3 khl@@j0
EPICYCLOIDAL	ii0 phis3 saj3 khl@@j0 dql2
EPICYCLOIDS	ii0 phis3 saj3 khl@@j0
EPIDEMIC	ii0 phi1 dee0 mik1
EPIDEMICAL	ii0 phi1 dee0 mi3 khql2
EPIDEMICALLY	ii0 phi1 dee0 mi3 khql2 lii2
EPIDEMICALNESS	ii0 phi1 dee0 mi3 khql0 nees1
EPIDEMICS	ii0 phi1 dee0 mik1
EPIDEMIOLOGIES	ii0 phi1 dii0 mi3 oo0 loo0 cis1
EPIDEMIOLOGIST	ii0 phi1 dii0 mi3 oo0 loo0 cis3
EPIDEMIOLOGISTS	ii0 phi1 dii0 mi3 oo0 loo0 cis3
EPIDEMIOLOGY	ii0 phi1 dii0 mi3 oo0 loo0 cii2
EPIDERM	ii0 phi1 dq@m0
EPIDERMA	ii0 phi1 dqq0 mqq2
EPIDERMAL	ii0 phi1 dqq0 mql2
EPIDERMATOID	ii0 phi1 dqq0 mql0 th@@j0
EPIDERMATOUS	ii0 phi1 dqq0 mql0 tqq2
EPIDERMIC	ii0 phi1 dqq0 mik1
EPIDERMICAL	ii0 phi1 dq@m0 i3 khql2
EPIDERMICALLY	ii0 phi1 dq@m0 i3 khql2 lii2
EPIDERMIS	ii0 phi1 dq@m0 is3
EPIDERMISES	ii0 phi1 dq@m0 is3 ses1
EPIDERMOID	ii0 phi1 dqq0 m@@j0
EPIDERMS	ii0 phi1 dq@m0
EPIDIALOGUE	ii0 phi1 daaj0 ql0 l@k3
EPIDIASCOPE	ii0 phi1 daaj0 qs3 koop1
EPIDIASCOPES	ii0 phi1 daaj0 qs3 koop1
EPIDOTIC	ii0 phi1 d@t3 thik1
EPIGENE	ii0 phi1 ciin0
EPIGENESIS	ii0 phi1 ceen0 nis1 sis1
EPIGENETIC	ii0 phi1 ciin0 tik1
EPIGENETICALLY	ii0 phi1 ciin0 ti1 khql2 lii2
EPIGENETICS	ii0 phi1 ciin0 tik1
EPIGLOTTAL	ii0 phi3 l@t3 thql2
EPIGLOTTIC	ii0 phi3 l@t3 thik1
EPIGLOTTIS	ii0 phi3 loo0 tii2
EPIGLOTTISES	ii0 phi3 l@t3 this3 ses1
EPIGONE	ii0 phi3 koon0
EPIGONES	ii0 phi3 koon0
EPIGONIUM	ii0 phi3 khoon0 j@m2
EPIGRAM	ii0 phi3 rxxm2
EPIGRAMMATIC	ii0 phi3 r@m0 mxt3 thik1
EPIGRAMMATICAL	ii0 phi3 r@m0 mxt3 thi1 khql2
EPIGRAMMATICALLY	ii0 phi3 r@m0 mxt3 thi1 kh@l2 lii2
EPIGRAMMATICISM	ii0 phi3 r@m0 mxt3 this3 sis3 svm2
EPIGRAMMATISE	ii0 phi1 krxxm0 mql0 tii2
EPIGRAMMATISER	ii0 phi1 krxxm0 mql0 thaj3 sqq2
EPIGRAMMATISM	ii0 phi1 krxxm0 mql0 this3 svm2
EPIGRAMMATIST	ii0 phi1 krxxm0 mql0 this2
EPIGRAMMATISTS	ii0 phi1 krxxm0 mql0 this2
EPIGRAMMATIZE	ii0 phi1 krxxm0 mql0 thaj3
EPIGRAMMATIZER	ii0 phi1 krxxm0 mql0 thaj3 sqq2
EPIGRAMS	ii0 phi1 krxxm0
EPIGRAPH	ii0 phi1 kraaf3 
EPIGRAPHER	ii0 phi3 rql0 fqq2
EPIGRAPHERS	ii0 phi3 rql0 fqs2
EPIGRAPHES	ii0 phi1 kraaf3 
EPIGRAPHIC	ii0 phi3 kraaf3 fik1
EPIGRAPHICAL	ii0 phi3 kraaf3 fi3 khql2
EPIGRAPHICALLY	ii0 phi3 kraaf3 fi3 khql2 lii2
EPIGRAPHIST	ii0 phi3 kraaf3 fis1
EPIGRAPHS	ii0 phi1 kraaf3 
EPIGRAPHY	ii0 phi3 kraaf3 fii2
EPILADIES	ii0 phil0 lee0 dis1
EPILADY	ii0 phil0 lee0 dii2
EPILADYING	ii0 phil0 lee0 dii0 ing2
EPILATE	ii0 phil0 leet1
EPILATION	ii0 phil0 lee0 chan0
EPILATOR	ii0 phil0 lee0 tqq2
EPILATORS	ii0 phil0 lee0 tqq2
EPILATORY	ii0 phil0 lqt3 thrii2
EPILEMMA	ii0 phil0 leem0 mqq2
EPILEPSIES	ii0 phil0 lep3 ses1
EPILEPSY	ii0 phil0 lep3 sii2
EPILEPTIC	ii0 phil0 lep3 tik1
EPILEPTICAL	ii0 phil0 lep3 tik3 khql2
EPILEPTICALLY	ii0 phil0 lep3 ti1 khql2 lii2
EPILEPTICS	ii0 phil0 lep3 tik1
EPILEPTICUS	ii0 phil0 lep3 tik3 khqq2
EPILOGIC	ii0 phil0 l@@0 cik1
EPILOGICAL	ii0 phil0 loo0 ci1 khql2
EPILOGICS	ii0 phil0 l@@0 cik1
EPILOGIZE	ii0 phil0 loo0 caaj3
EPILOGUE	ii0 phil0 l@k3
EPILOGUED	ii0 phil0 l@k3
EPILOGUES	ii0 phil0 l@k3
EPILOGUING	ii0 phil0 l@k3 king2
EPIPHANES	ii0 phi1 fqn2
EPIPHANIE	ii0 phi1 fql0 nii2
EPIPHANIES	ii0 phi1 fql0 niis3
EPIPHANOUS	ii0 phi1 fql0 nees1
EPIPHANY	ii0 phi1 fql0 nii2
EPISCOPABLE	ii0 phis3 khql0 phql0 bql2
EPISCOPACIES	ii0 phis3 khql0 phqs1 ses1
EPISCOPACY	ii0 phis3 khql0 phqs1 sii2
EPISCOPAL	ii0 phis3 khql0 pql2
EPISCOPALIAN	ii0 phis3 khql0 phee0 liian2
EPISCOPALIANISM	ii0 phis3 khql0 phee0 liian0 nis3 svm2
EPISCOPALIANIZE	ii0 phis3 khql0 phee0 liian0 naj3
EPISCOPALIANIZES	ii0 phis3 khql0 phee0 liian0 naaj0 ses1
EPISCOPALIANS	ii0 phis3 khql0 phee0 liian2
EPISCOPALS	ii0 phis3 khqs2
EPISCOPATE	ii0 phis3 khql0 phit1
EPISCOPATES	ii0 phis3 khql0 phit1
EPISCOPE	ii0 phis3 khoop1
EPISCOPES	ii0 phis3 khoop1
EPISCOPIZE	ii0 phis3 khql0 phaj3
EPISCOPY	ii0 phis3 kql0 phii2
EPISODE	ep3 phi1 s@@t1
EPISODES	ep3 phi1 s@@t1
EPISODIC	ep3 phi1 s@@0 dik1
EPISODICAL	ep3 phi1 s@@0 di3 khql2
EPISODICALLY	ep3 phi1 s@@0 di1 khql2 lii2
EPISTANDARD	ii0 phis3 txxn0 dqt1
EPISTAT	ii0 phis3 txt1
EPISTATES	ii0 phis3 txt1
EPISTATIC	ii0 phis3 txx0 tik1
EPISTEMES	ii0 phis3 th@m2
EPISTEMIC	ii0 phis3 teem2 mik1
EPISTEMICALLY	ii0 phis3 teem2 mi3 khql2 lii2
EPISTEMOLOGIC	ii0 phis3 tql0 mql0 l@@0 cik1
EPISTEMOLOGICAL	ii0 phis3 tql0 m@@0 loo0 ci1 khql2
EPISTEMOLOGICALLY	ii0 phis3 tql0 m@@0 loo0 ci1 khql2 lii2
EPISTEMOLOGIES	ii0 phis3 tql0 m@@0 loo0 cis1
EPISTEMOLOGY	ii0 phis3 tql0 m@@0 loo0 cii2
EPISTLE	ii0 phis3 sql2
EPISTLER	ii0 phis3 thql0 lqq2
EPISTLERS	ii0 phis3 thql0 lqq2
EPISTLES	ii0 phis3 sql2
EPISTOLARY	ii0 phis3 thql0 loo0 rii2
EPISTOLATORY	ii0 phis3 thql0 loo0 rii2
EPISTOLER	ii0 phis3 thql0 lqq2
EPISTOLIZABLE	ii0 phis3 thql0 laj3 bql2
EPISTOLIZATION	ii0 phis3 thql0 laj3 see0 chan0
EPISTOLIZE	ii0 phis3 thql0 laj3
EPISTOLIZER	ii0 phis3 thql0 laj3 sqq2
EPISTOMA	ii0 phis3 tql0 mqq2
EPISTOMOLOGY	ii0 phis3 tql0 m@@0 loo0 cii2
EPISTOR	ii0 phis3 tqq2
EPISTROMA	ii0 phis3 tr@@0 mqq2
EPISTROPHE	ii0 phis3 trql0 fii2
EPISTROPHIC	ii0 phis3 troo0 fik1
EPISTROPHY	ii0 phis3 troo0 fii2
EPISTULAE	ii0 phis3 tiw0 lii2
EPISTYLE	ii0 phis3 taaj0
EPITAPH	ii0 phi1 thaaf3 
EPITAPHED	ii0 phi1 thaaf3 
EPITAPHES	ii0 phi1 thaaf3 
EPITAPHING	ii0 phi1 thaaf3 fing2
EPITAPHS	ii0 phi1 thaaf3 
EPITHALAMIA	ii0 phi3 thql0 leem0 rqq2
EPITHALAMIUM	ii0 phi3 thql0 leem0 j@m0
EPITHALAMIUMS	ii0 phi3 thql0 leem0 jqs2
EPITHALAMY	ii0 phi3 thql0 leem0 mii2
EPITHELIA	ii0 phi3 thii0 liian2
EPITHELIUM	ii0 phi3 thiil0 j@m0
EPITHELIUMS	ii0 phi3 thiil0 jqs2
EPITHET	ii0 phi3 thet3
EPITHETIC	ii0 phi3 thee3 tik1
EPITHETICAL	ii0 phi3 thqq0 thi1 khql2
EPITHETICALLY	ii0 phi3 thee3 tik3 lii2
EPITHETS	ii0 phi3 thet3
EPITOME	ii0 phi1 th@m2 mii2
EPITOMES	ii0 phi1 thql0 mis3
EPITOMIC	ii0 phi1 th@@m0 mik1
EPITOMICAL	ii0 phi1 th@@0 mi3 khql2
EPITOMICALLY	ii0 phi1 th@@0 mi3 khql2 lii2
EPITOMISE	ii0 phi1 thql0 mis3
EPITOMISED	ii0 phi1 thql0 mis3
EPITOMISER	ii0 phi1 th@m2 maaj3 sqq2
EPITOMISERS	ii0 phi1 th@m2 maaj3 sqqs2
EPITOMISES	ii0 phi1 thql0 mis3 ses1
EPITOMISING	ii0 phi1 thql0 mis3 sing2
EPITOMIST	ii0 phi1 thql0 mis3
EPITOMIZATION	ii0 phi1 th@m2 maaj3 see0 chan0
EPITOMIZE	ii0 phi1 th@m2 maaj3
EPITOMIZED	ii0 phi1 th@m2 maaj3
EPITOMIZER	ii0 phi1 th@m2 maaj3 sqq2
EPITOMIZERS	ii0 phi1 th@m2 maaj3 sqqs2
EPITOMIZES	ii0 phi1 th@m2 maaj0 ses1
EPITOMIZING	ii0 phi1 th@m2 maaj3 sing2
EPITOMY	ii0 phi1 th@m2 mii2
EPITSON	ii0 phit3 san2
EPOCH	ii0 ph@k3
EPOCHAL	ii0 ph@k3 khql2
EPOCHALLY	ii0 ph@3 kheel0 laaj0
EPOCHES	ii0 ph@k3
EPOCHS	ii0 ph@k3
EPODE	ii0 ph@@t1
EPODES	ii0 ph@@t1
EPONYM	ii0 ph@@n0 nim0
EPONYMIC	ii0 ph@@n0 ni3 mik1
EPONYMITY	ii0 ph@@n0 ni3 mi3 tii2
EPONYMOUS	ii0 ph@@n0 ni3 mqq2
EPONYMOUSLY	ii0 ph@@n0 ni3 mqs3 lii2
EPONYMS	ii0 ph@@n0 nim0
EPONYMUS	ii0 ph@@n0 ni3 mqq2
EPONYMY	ii0 ph@@n0 ni3 mii2
EPOPEE	ii0 ph@@0 phii2
EPOS	ii0 ph@s3
EPPING	ep3 ping2
EPPINGER	ep3 ping0 ngqq2
EPPINK	ep3 ping2
EPSILON	ep3 saaj0 lqn2
EPSILONS	ep3 saaj0 lqn2
EPSOM	ep3 svm2
EPSON	ep3 san2
EPSONS	ep3 san2
EQUABILITY	ii0 khwql0 bi1 li3 tii2
EQUABLE	ii0 khwql0 bql2
EQUABLENESS	ii0 khwql0 bql2 nees1
EQUABLY	ii0 khwql0 blii2
EQUAL	ii0 khwql2
EQUALD	ii0 khwql2
EQUALED	ii0 khwql2
EQUALING	ii0 khwql0 ling2
EQUALISATION	ii0 khwql0 laj3 see0 chan0
EQUALISATIONS	ii0 khwql0 laj3 see0 chan0
EQUALISED	ii0 khwql0 laj3
EQUALISER	ii0 khwql0 laj3 sqq2
EQUALISERS	ii0 khwql0 laj3 sqqs2
EQUALISES	ii0 khwql0 lis3 ses1
EQUALISING	ii0 khwql0 laj3 sing2
EQUALISINGS	ii0 khwql0 laj3 sing2
EQUALIST	ii0 khwql0 lis3
EQUALISTS	ii0 khwql0 lis3
EQUALITARIAN	ii0 khwql0 li3 thxx0 riian2
EQUALITARIANISM	ii0 khwql0 li3 thxx0 riian0 nis3 svm2
EQUALITARIANS	ii0 khwql0 li3 thxx0 riian2
EQUALITIES	ii0 khwql0 li3 tii2
EQUALITY	ii0 khwql0 li3 tii2
EQUALIZATION	ii0 khwql0 laj3 see0 chan0
EQUALIZATIONS	ii0 khwql0 laj3 see0 chan0
EQUALIZE	ii0 khwql0 laj3
EQUALIZED	ii0 khwql0 laj3
EQUALIZER	ii0 khwql0 laj3 sqq2
EQUALIZERS	ii0 khwql0 laj3 sqqs2
EQUALIZES	ii0 khwql0 laaj0 ses1
EQUALIZING	ii0 khwql0 laj3 sing2
EQUALIZINGS	ii0 khwql0 laj3 sing2
EQUALLED	ii0 khwql2
EQUALLING	ii0 khwql0 ling2
EQUALLY	ii0 khwql2 lii2
EQUALS	ii0 khwql2
EQUANIMICAL	ii0 khw@n0 ni3 mi3 khql2
EQUANIMITIES	ii0 khw@n0 ni3 mi3 tii2
EQUANIMITY	ii0 khw@n0 ni3 mi3 tii2
EQUANIMOUS	ii0 khw@n0 ni3 mas2
EQUANIMOUSLY	ii0 khw@n0 ni3 mas3 lii2
EQUANIMOUSNESS	ii0 khw@n0 ni3 mas3 nees1
EQUATE	ii0 khweet1
EQUATED	ii0 khweet3 thet1
EQUATES	ii0 khweet1
EQUATING	ii0 khweet3 ting2
EQUATION	ii0 khwee0 chan2
EQUATIONALLY	ii0 khwee0 chan0 nal0 lii2
EQUATIONS	ii0 khwee0 chan2
EQUATOR	ii0 khwee0 tqq2
EQUATORIA	ii0 khwee0 th@@0 riia0
EQUATORIAL	ii0 khwee0 th@@0 riial0
EQUATORIALLY	ii0 khwee0 th@@0 riial0 lii2
EQUATORIANS	ii0 khwee0 th@@0 riian2
EQUATORS	ii0 khwee0 tqq2
EQUERRIES	ii0 khwee0 ris1
EQUERRY	ii0 khwee0 rii2
EQUESTRIAL	ii0 khwees3 triial0
EQUESTRIAN	ii0 khwees3 triian2
EQUESTRIANISE	ii0 khwees3 triian2 nees1
EQUESTRIANISES	ii0 khwees3 triian0 nis1 ses1
EQUESTRIANISM	ii0 khwees3 triian0 nis3 svm2
EQUESTRIANIZE	ii0 khwees3 triian0 naj3
EQUESTRIANIZES	ii0 khwees3 triian0 naaj0 ses1
EQUESTRIANS	ii0 khwees3 triian2
EQUESTRIANSHIP	ii0 khwees3 triian0 chip3
EQUIANGLE	ii0 khwi3 xxng0 khql2
EQUIANGULAR	ii0 khwi3 xxng0 khiw0 lqq2
EQUIANGULARITY	ii0 khwi3 xxng0 khiw0 lxx0 ri3 tii2
EQUIDIST	ii0 khwi3 dis1
EQUIDISTANCE	ii0 khwi3 dis3 thxn3
EQUIDISTANT	ii0 khwi3 dis3 then3
EQUIDISTANTLY	ii0 khwi3 dis3 then0 lii2
EQUIDISTRIBUTED	ii0 khwi3 dis3 thri3 biw3 thet1
EQUIDISTRIBUTION	ii0 khwi3 dis3 thri3 biw3 chan0
EQUIDS	ii0 khwit3
EQUILATERAL	ii0 khwil0 lxt3 thql0 rql2
EQUILATERALLY	ii0 khwil0 lxt3 thql0 rql2 lii2
EQUILATERALS	ii0 khwil0 lxt3 thql0 rql2
EQUILIBRANT	ii0 khwil0 laj3 bren3
EQUILIBRATE	ii0 khwil0 laj3 breet1
EQUILIBRATED	ii0 khwil0 laj3 breet3 thet1
EQUILIBRATES	ii0 khwil0 laj3 breet1
EQUILIBRATING	ii0 khwil0 laj3 breet1 ting2
EQUILIBRATION	ii0 khwil0 laj3 bree0 chan0
EQUILIBRATIONS	ii0 khwil0 laj3 bree0 chan0
EQUILIBRATIVE	ii0 khwil0 laj3 breet1 thiif1
EQUILIBRATOR	ii0 khwil0 laj3 bree0 tqq2
EQUILIBRATORS	ii0 khwil0 laj3 bree0 tqq2
EQUILIBRATORY	ii0 khwil0 laj3 brqt1 thql0 rii2
EQUILIBRIA	ii0 khwil0 li3 briia0
EQUILIBRIATE	ii0 khwil0 li3 bri3 it1
EQUILIBRIATING	ii0 khwil0 li3 bri3 ee3 ting2
EQUILIBRIATION	ii0 khwil0 li3 bri3 ii0 chan0
EQUILIBRIOUS	ii0 khwil0 li3 briias2
EQUILIBRIST	ii0 khwil0 li3 bris3
EQUILIBRISTAT	ii0 khwil0 li3 bris3 txt1
EQUILIBRISTIC	ii0 khwil0 li3 bris3 tik1
EQUILIBRIUM	ii0 khwil0 li3 briiam2
EQUILIBRIUMS	ii0 khwil0 li3 briiam2
EQUIMULTIPLE	ii0 khwi3 mal3 ti1 pql2
EQUINA	ii0 khwaaj0 nqq2
EQUINE	ii0 khwaaj0
EQUINES	ii0 khwaaj0
EQUINOCTIAL	ii0 khwi3 n@k3 chql2
EQUINOX	ii0 khwi3 n@k3
EQUINOXES	ii0 khwi3 n@k3 ses1
EQUIP	ii0 khwip3
EQUIPAGE	ii0 khwip3 phic1
EQUIPAGES	ii0 khwip3 phi1 cis1
EQUIPED	ii0 khwip3
EQUIPES	ii0 khwip3
EQUIPING	ii0 khwip3 ping2
EQUIPMENT	ii0 khwip3 men3
EQUIPMENTAGE	ii0 khwip3 mqn2 theec1
EQUIPMENTS	ii0 khwip3 men3
EQUIPOISE	ii0 khwip3 ph@@j3
EQUIPOISES	ii0 khwip3 ph@@j3 ses1
EQUIPPED	ii0 khwip3
EQUIPPER	ii0 khwip3 pqq2
EQUIPPERS	ii0 khwip3 pqq2
EQUIPPING	ii0 khwip3 ping2
EQUIPS	ii0 khwip3
EQUISITE	ii0 khwi3 sit1
EQUISTAR	ii0 khwi3 tql0 rqq2
EQUITABILITY	ii0 khwit3 thql0 bi1 li3 tii2
EQUITABLE	ii0 khwit3 thi1 bql2
EQUITABLENESS	ii0 khwit3 thi1 bql2 nees1
EQUITABLY	ii0 khwit3 thql0 blii2
EQUITANT	ii0 khwit3 then3
EQUITATION	ii0 khwit3 thqq0 chan0
EQUITIES	ii0 khwi3 tii2
EQUITIST	ii0 khwit3 this2
EQUITY	ii0 khwit3 tii2
EQUIVALANCE	ii0 khwi3 wql0 lqn2
EQUIVALANT	ii0 khwi3 wql0 len3
EQUIVALENCE	ii0 khwi3 wql0 lqn2
EQUIVALENCED	ii0 khwi3 wql0 lqn1
EQUIVALENCES	ii0 khwi3 wql0 lqn1 ses1
EQUIVALENCIES	ii0 khwi3 wql0 lqn1 ses1
EQUIVALENCING	ii0 khwi3 wql0 lqn1 sing2
EQUIVALENCY	ii0 khwi3 wql0 lqn1 sii2
EQUIVALENT	ii0 khwi3 wql0 len3
EQUIVALENTLY	ii0 khwi3 wql0 len3 tlii2
EQUIVALENTS	ii0 khwi3 wql0 len3
EQUIVOCACIES	ii0 khwi3 wqq0 khql0ses1
EQUIVOCACY	ii0 khwi3 wqq0 khql0sii2
EQUIVOCADO	ii0 khwi3 wqq0 khaat3 doo2
EQUIVOCADOS	ii0 khwi3 wqq0 khaat3 doos2
EQUIVOCAL	ii0 khwi3 wqk3 hql2
EQUIVOCALLY	ii0 khwi3 wqk3 hql2 lii2
EQUIVOCATED	ii0 khwi3 wqq0 khee0 thet1
EQUIVOCATING	ii0 khwi3 wqq0 kheet3 ting2
EQUIVOCATINGLY	ii0 khwi3 wqq0 kheet3 ting2 lii2
EQUIVOCATION	ii0 khwi3 wqq0 khee0 chan0
EQUIVOCATIONS	ii0 khwi3 wqq0 khee0 chan0
EQUIVOCATOR	ii0 khwi3 wqq0 khee0 tqq2
EQUIVOCATORS	ii0 khwi3 wqq0 khee0 tqq2
EQUIVOKE	ii0 khwi3 w@@k3
EQUIVOKES	ii0 khwi3 w@@k3
EQUIVOQUE	ii0 khwi3 w@@k3
EQUIVOQUES	ii0 khwi3 w@@k3
ERA	ii0 raa2
ERADES	ii0 raa0 des1
ERADIATE	ii0 ree0 di1 eet1
ERADIATION	ii0 ree0 di1ii0 chan0
ERADICABLE	ii0 ree0 di1 khql0 bql2
ERADICABLY	ii0 ree0 di1 khql0 blii2
ERADICANT	ii0 ree0 di1 kqn2
ERADICATE	ii0 ree0 di1 kheet1
ERADICATED	ii0 ree0 di1 khee0 thet1
ERADICATES	ii0 ree0 di1 kheet1
ERADICATING	ii0 ree0 di1 keet3 ting2
ERADICATION	ii0 ree0 di1 khee0 chan0
ERADICATIONIST	ii0 ree0 di1 khee0 chan0 nis3
ERADICATIONISTS	ii0 ree0 di1 khee0 chan0 nis3
ERADICATIONS	ii0 ree0 di1 khee0 chan0
ERADICATIVE	ii0 ree0 di1 khql0 thiif1
ERADICATOR	ii0 ree0 di1 keet3 tqq2
ERADICATORS	ii0 ree0 di1 keet3 tqq2
ERADICATORY	ii0 ree0 di1 kql0 thql0 rii2
