O	oo0
OLYNTHIAN	oo0 lin0 thiian2
OMAN	oo0 maan0
OMANI	oo0 maan0 nii2
OMANIS	oo0 maan0 nii2
OMANS	oo0 maan0
OMBRE	oom0 bqq2
OMBRES	oom0 bqq2
OMBUDSMAN	oom0 buut3 sa1 mxxn0
OMBUDSMANS	oom0 buut3 sa1 mxxn0
OMBUDSMANSHIP	oom0 buut3 sa1 mxn2 chip3
OMBUDSMEN	oom0 buut3 sa1 men0
OMEGA	oo0 mee0 kaa2
OMEGAS	oo0 mee0 kaas2
OMELET	@@m0 let1
OMELETES	@@m0 let1
OMELETS	@@m0 let1
OMELETTE	@@m0 let1
OMELETTES	@@m0 let1
OMEN	oo0 men0
OMENED	oo0 men0
OMENING	oo0 men0 ning2
OMENS	oo0 men0
OMENTAL	oo0 men0 thql2
OMENTUM	oo0 men0 tham2
OMER	oo0 mqq2
OMICRON	oo0 maaj0 khr@n2
OMICRONS	oo0 maaj0 khr@n2
OMINATE	oo0 mi3 neet1
OMINENT	oo0 mi3 nen3
OMINIBUS	oo0 mi3 ni3 bas3
OMINIOUS	oo0 mi1 niias3
OMINOUS	oo0 mi3 nees1
OMINOUSLY	oo0 mi3 nqs1 lii2
OMINOUSNESS	oo0 mi3 nqs3 nees1
OMISSIBLE	oo0 mis3 si1 bql2
OMISSION	a1 mich3 chan2
OMISSIONS	a1 mich3 chan2
OMISSIVE	oo0 mis3 siif1
OMISSIVELY	oo0 mis3 siif1 lii2
OMISSUS	oo0 mis3 ses1
OMIT	a1 mit3
OMITED	a1 mit3 thet1
OMITING	a1 mit3 ting2
OMITS	a1 mit3
OMITTABLE	a1 mit3 thee0 bql2
OMITTANCE	a1 mit3 then3
OMITTD	a1 mit3 thet1
OMITTED	a1 mit3 thet1
OMITTER	a1 mit3 tqq2
OMITTING	a1 mit3 ting2
OMNIATION	@@m0 ni3 ee0 chan2
OMNIBUS	@@m0 ni3 bqq2
OMNIBUSES	@@m0 ni3 bq1 ses1
OMNIFARIOUS	@@m0 ni3 fxx0 riias2
OMNIFARIOUSLY	@@m0 ni3 fxx0 riias2 lii2
OMNIFARIOUSNESS	@@m0 ni3 fxx0 riias2 nees1
OMNIFEROUS	@@m0 ni3 fq1 rqqs2
OMNIFIC	@@m0 ni3 fik1
OMNIFICENCE	@@m0 ni3 fi1 sen3
OMNIFICENCES	@@m0 ni3 fi3 sen3 ses1
OMNIFICENT	@@m0 ni3 fi1 sen3
OMNIFORM	@@m0 ni3 f@@m0
OMNIFORMAL	@@m0 ni3 f@@0 m@l2
OMNIFORMITY	@@m0 ni3 f@@0 mi3 tii2
OMNIFY	@@m0 ni3 faaj0
OMNIPOTENCE	@@m0 ni3 phq1 then3
OMNIPOTENT	@@m0 ni3 phq1 then3
OMNIPOTENTIALITY	@@m0 ni3 phq1 theen0 chiial0 li3 tii2
OMNIPREGNANT	@@m0 ni3 phrek3 nen3
OMNIPRESENCE	@@m0 ni3 phres3 sen3
OMNIPRESENT	@@m0 ni3 phres3 sen3
OMNIPRESENTLY	@@m0 ni3 phres3 sen3 lii2
OMNIPREVALENCE	@@m0 ni3 phres3 sqn2
OMNIPREVALENT	@@m0 ni3 phref3 wq1 len3
OMNISCIENCE	@@m0 nis1 siian2
OMNISCIENT	@@m0 nis1 siian2
OMNISCIENTLY	@@m0 nis1 siian2 lii2
OMNISEXUAL	@@m0 nis1 sek3 suual2
OMNIST	@@m0 nis3
OMNITRON	@@m0 ni3 thr@@n0
OMNITRONS	@@m0 ni3 thr@@n0
OMNITUDE	@@m0 ni3 cuut1
OMNIUM	@@m0 niiam2
OMNIVORACIOUS	@@m0 ni3 wqq0 ree0 chqq2
OMNIVORACITY	@@m0 ni3 wqq0 rx3 si3 tii2
OMNIVORE	@@m0 ni3 w@@0
OMNIVORES	@@m0 ni3 w@@s2
OMNIVOROUS	@@m0 ni3 wqq0 rqqs2
OMNIVOROUSLY	@@m0 ni3 wqq0 ras3 lii2
OMNIVOROUSNESS	@@m0 ni3 wqq0 ras3 nees1
OMNIVORY	@@m0 ni3 wqq0 rii2
OMPHALITIS	@@m0 fql1 laaj0 tis1
OMPHALOS	@@m0 fq1 loos2
OMPHALUS	@@m0 fq1 lqq2
OMSK	@@m3
ON	@@n0
ONAGER	@@n0 nq1 kqq2
ONAGERS	@@n0 nq1 kqq2
ONCE	wan3
ONCER	wan0 sqq2
ONCERS	wan0 sqq2
ONCES	wan3 ses1
ONCOME	@@n0 kham0
ONCOMING	@@n0 kham0 ming2
ONCOMINGS	@@n0 kham0 ming2
ONCOR	@@n0 kh@@0
ONCORE	@@n0 kh@@0
ONE	wan0
ONEALL	wan0 n@@l0
ONEFOLD	wan0 fool0
ONEIDA	wan0 naaj0 dqq2
ONEIDAS	wan0 naaj0 dqq2
ONEILL	wan0 nil0
ONEIROLOGIST	oo0 naaj0 roo0 lq1 cis3
ONEIROLOGY	oo0 naaj0 roo0 lq1 cii2
ONEIROMANCER	oo0 naaj0 rq1 mxxn3 sqq2
ONEIROMANCY	oo0 naaj0 roo0 mxxn0 sii2
ONENESS	wan0 nees1
ONENESSES	wan0 nis1 ses1
ONER	wan0 nqq2
ONEROSITIES	oo0 nqq0 r@s3 si3 tii2
ONEROSITY	oo0 nqq0 r@s3 si3 tii2
ONEROUS	oo0 nqq0 rqqs2
ONEROUSLY	oo0 nqq0 ras3 lii2
ONEROUSNESS	oo0 nqq0 ras3 nees1
ONES	wan0
ONESELF	wan0 seel3
ONESELVES	wan0 seel3
ONESIDED	wan0 saj3 det1
ONESIDEDNESS	wan0 saj3 dit1 nees1
ONETIME	wan0 thaam0
ONEYEAR	wan0 jiia0
ONGAR	@@ng0 kqq2
ONGAR	@@ng0 kqq2
ONGARD	@@ng0 kqt1
ONGARD	@@ng0 kqqt1
ONGARO	@@ng0 kqq0 roo2
ONGOING	@@n0 koo0 ing2
ONION	an0 niian2
ONIONS	an0 niian2
ONIONSKIN	an0 niian2 sa1 kin0
ONIONSKINS	an0 niian2 sa1 kin0
OMONITORSHIP	m@@0 ni3 tqq2 chip3
ONLEY	@@n0 lee2
ONLOOK	@@n0 luk3
ONLOOKER	@@n0 luk3 kqq2
ONLOOKERS	@@n0 luk3 kqq2
ONLOOKING	@@n0 luk3 king2
ONLY	oon0 lii2
ONOMANCY	@@n0 noo0 mxxn0 sii2
ONOMASTIC	@@n0 noo0 mxs3 tik1
ONOMASTICON	@@n0 noo0 mxs3 ti1 kqn2
ONOMASTICS	@@n0 noo0 mxs3 tik1
ONOMATOLOGIST	@@n0 noo0 mq1 thoo0 lq1 cis3
ONOMATOLOGISTS	@@n0 noo0 mq1 thoo0 lq1 cis3
ONOMATOLOGY	@@n0 noo0 mq1 thoo0 lq1 cii2
ONOMATOPLASM	@@n0 nq1 mxx0 thq1 phlxs3 svm2
ONOMATOPOEIA	@@n0 nq1 mxx0 thq1 phiia0
ONOMATOPOEIC	@@n0 noo0 mxx0 thoo0 phii0 ik1
ONOMATOPOEICALLY	@@n0 noo0 mxx0 thoo0 phii0 i1 kh@l2 lii2
ONOMATOUS	@@n0 noo0 mq1 tqq2
ONRUSH	@@n0 rach3
ONRUSHES	@@n0 rach3 ches1
ONRUSHING	@@n0 rach3 ching2
ONSELF	@@n0 seel3
ONSENSUS	@@n0 sen0 sqqs2
ONSENT	@@n0 sen3
ONSEQUENCES	@@n0 si1 khwen3 ses1
ONSET	@@n0 set1
ONSETS	@@n0 set1
ONSETTER	@@n0 set3 tqq2
ONSETTING	@@n0 set3 ting2
ONSHORE	@@n0 ch@@0
ONSHORE	@@n0 ch@@0
ONSLAUGHT	@@n0 sa1 l@@t1
ONSLAUGHTS	@@n0 sa1 l@@t1
ONSLOW	@@n0 sa1 loo0
ONSTAD	@@n0 sa1 tqt2
ONSTAGE	@@n0 sa1 teec1
ONSTAND	@@n0 sa1 txxn0
ONSTANDING	@@n0 sa1 txxn0 ding2
ONSTEAD	@@n0 sa1 teet3
ONSTED	@@n0 sa1 tet1
ONSTIMULATION	@@n0 sa1 ti3 muu0 lee0 chan2
ONSTITUTE	@@n0 sa1 ti1 thiw3
ONSTREAM	@@n0 sa1 triim0
ONSTREET	@@n0 sa1 triit1
ONTACT	@@n0 thxk1
ONTARIA	@@n0 thxx0 riia0
ONTARIAN	@@n0 thxx0 riian2
ONTARIANS	@@n0 thxx0 riian2
ONTARIO	@@n0 thxx0 rii0 oo2
ONTO	@@n0 thqq2
ONTO	@@n0 thuu0
ONTOGENESES	@@n0 thuu0 ciin0 ses1
ONTOGENESIS	@@n0 thq1 ceen0 nqs3 sis1
ONTOGENETIC	@@n0 thq1 ci1 nee0 thik1
ONTOGENETICAL	@@n0 thq1 ci1 nee0 thi1 khql2
ONTOGENETICALLY	@@n0 thq1 ci1 nee0 thi3 khq1 lii2
ONTOGENIC	@@n0 thq1 ceen0 nik1
ONTOGENICALLY	@@n0 thq1 ceen0 ni3 khq1 lii2
ONTOGENIES	@@n0 thq1 cii0 nees1
ONTOLOGIC	@@n0 thq1 loo0 cik1
ONTOLOGICAL	@@n0 thq1 loo0 ci3 khql2
ONTOLOGICALLY	@@n0 thq1 loo0 ci3 khq1 lii2
ONTOLOGIES	@@n0 thoo0 lq1 cii2
ONTOLOGISM	@@n0 thoo0 lq1 cis3 svm2
ONTOLOGIST	@@n0 thoo0 lq1 cis3
ONTOLOGISTIC	@@n0 thoo0 lq1 ci1 sa1 tik3
ONTOLOGY	@@n0 thoo0 lq1 cii2
ONTOUR	@@n0 thuua0
ONUS	@@n0 nees1
ONUSES	@@n0 nqs3 ses1
ONWARD	@@n0 wqt1
ONWARDLY	@@n0 wqt1 lii2
ONWARDNESS	@@n0 wqt1 nees1
ONWARDS	@@n0 wqt1
ONYX	@@n0 nik3
ONYXES	@@n0 nik3 ses1
OODLES	uu0 dql2
OOF	uuf3
OOLITE	oo0 q1 laj3
OOLITES	oo0 q1 laj3
OOLITIC	oo0 q1 li3 thik1
OOLOGIES	oo0 @@0 lq1 cis1
OOLOGIST	oo0 @@0 lq1 cis3
OOLOGIZE	oo0 @@0 lq1 caaj3
OOLOGY	oo0 @@0 lq1 cii2
OOMPH	uum3
OOMPHS	uum3
OOZE	uus3
OOZED	uus3
OOZES	uus3 ses1
OOZIER	uus3 si1 qq2
OOZIEST	uus3 si1 es1
OOZING	uus3 sing2
OOZINGLY	uus3 sing2 lii2
OOZINGS	uus3 sing2
OOZY	uus3 sii2
OP	@p3
OPACIC	oo0 phxs3 sik3
OPACIFICATION	oo0 phxs3 siif1 fi3 khee0 chan2
OPACIFIED	oo0 phxs3 si1 faaj0
OPACIFIER	oo0 phxs3 si1 faaj0 qq2
OPACIFIES	oo0 phxs3 si1 faaj0
OPACIFY	oo0 phxs3 si1 faaj0
OPACIFYING	oo0 phxs3 si1 faaj0 ing2
OPACITIES	oo0 phxs3 si3 tii2
OPACITY	oo0 phxs3 si3 tii2
OPAL	oo0 phql2
OPALED	oo0 phql2
OPALESCE	oo0 phq1 les1
OPALESCED	oo0 phq1 les1
OPALESCENCE	oo0 phq1 les3 sqn2
OPALESCENCES	oo0 phq1 les3 sqn2 ses1
OPALESCENT	oo0 phq1 les3 sen3
OPALESCENTLY	oo0 phq1 les3 sen3 lii2
OPALESCES	oo0 phq1 les3 ses1
OPALESCING	oo0 phq1 les3 sing2
OPALESQUE	oo0 phq1 les3
OPALINE	oo0 phql2 laaj0
OPALINE	oo0 phql2 liin0
OPALISES	oo0 phql2 lis3 ses1
OPALIZE	oo0 phql2 laj3
OPALIZED	oo0 phql2 laj3
OPALIZES	oo0 phql2 laaj0 ses1
OPALS	oo0 pql2
OPAQUE	oo0 pheek3
OPAQUED	oo0 pheek3
OPAQUELY	oo0 pheek3 lii2
OPAQUENESS	oo0 pheek3 nees1
OPAQUER	oo0 pheek3 kqq2
OPAQUES	oo0 pheek3
OPE	oop3
OPEC	oo0 pek1
OPEN	oo0 phqn2
OPENABLE	oo0 phqn2 nee0 bql2
OPENCAST	oo0 phqn2 khaas3
OPENCASTING	oo0 phqn2 khaas3 ting2
OPENED	oo0 phqn2
OPENENDEDNESS	oo0 phqn2 neen0 dit1 nees1
OPENER	oo0 phqn2 nqq2
OPENERS	oo0 phqn2 nqq2
OPENESS	oo0 phqn2 nees1
OPENEST	oo0 phqn2 nis3
OPENHANDED	oo0 phqn2 hxxn0 det1
OPENHANDEDLY	oo0 phqn2 hxxn0 det1 lii2
OPENHANDEDNESS	oo0 phqn2 hxxn0 dit1 nees1
OPENHEAD	oo0 phqn2 heet3
OPENHEARTED	oo0 phqn2 haat3 thet1
OPENHEARTEDLY	oo0 phqn2 haat3 thet1 lii2
OPENHEARTEDNESS	oo0 phqn2 haat3 thet1 nees1
OPENHEIMER	oo0 phqn2 haaj0 mqq2
OPENING	oo0 phqn2 ning2
OPENINGLY	oo0 phqn2 ning2 lii2
OPENINGS	oo0 phqn2 ning2
OPENLY	oo0 phqn2 lii2
OPENMOUTHED	oo0 phqn2 maw3
OPENNESS	oo0 phqn2 nees1
OPENS	oo0 phqn2
OPENSHAW	oo0 phqn2 ch@@0
OPENWARE	oo0 phqn2 wxx0
OPENWAREHOUSE	oo0 phqn2 wxx0 haaw3
OPENWORK	oo0 phqn2 wqqk3
OPENWORKS	oo0 phqn2 wqqk3
OPERA	oo0 phq1 raa2
OPERA	oo0 phq1 raa2
OPERABILITIES	@@p3 phq1 rq1 bi1 li3 tii2
OPERABILITY	@@p3 phq1 rq1 bi1 li3 tii2
OPERABILY	@@p3 phq1 rq1 bi1 lii2
OPERABLE	@@p3 phq1 ree0 bql2
OPERABLY	@@p3 phq1 ree0 blii2
OPERAN	@@p3 phq1 rxxn0
OPERANCE	@@p3 phq1 rxn3
OPERANCY	@@p3 phq1 rxxn0 sii2
OPERAND	@@p3 phq1 rxxn0
OPERANDA	@@p3 phqq0 rxxn0 dqq2
OPERANDI	@@p3 phqq0 rxxn0 dii2
OPERANDS	@@p3 phq1 rxxn0
OPERANT	@@p3 phq1 ren3
OPERANTLY	@@p3 phq1 ren3 lii2
OPERANTS	@@p3 phq1 ren3
OPERAS	@@p3 phq1 raas2
OPERATABLE	@@p3 phq1 reet3 thee0 bql2
OPERATE	@p3 phq1 reet1
OPERATED	@p3 phq1 reet3 thet1
OPERATER	@p3 phq1 ree0 tqq2
OPERATERS	@p3 phq1 ree0 tqq2
OPERATES	@p3 phq1 reet1
OPERATIC	@p3 phq1 rxx0 thik1
OPERATICAL	@p3 phq1 rxx0 thi1 khql2
OPERATICALLY	@p3 phq1 rxx0 thi1 khq1 lii2
OPERATICS	@p3 phq1 rxx0 thik1
OPERATING	@p3 phq1 reet3 ting2
OPERATINGS	@p3 phq1 reet3 ting2
OPERATIO	@p3 phqq0 ree0 chii0 oo2
OPERATION	@p3 phq1 ree0 chan2
OPERATIONAL	@p3 phq1 ree0 chan2 n@l2
OPERATIONALISATION	@p3 phq1 ree0 chan2 n@l2 laj3 see0 chan2
OPERATIONALISATIONS	@p3 phq1 ree0 chan2 n@l2 laj3 see0 chan2
OPERATIONALISED	@p3 phq1 ree0 chan2 n@l2 laj3
OPERATIONALISING	@p3 phq1 ree0 chan2 n@l2 lis3 sing2
OPERATIONALISM	@p3 phq1 ree0 chan2 n@l2 lis3 svm2
OPERATIONALIST	@p3 phq1 ree0 chan2 n@l2 lis3
OPERATIONALISTIC	@p3 phq1 ree0 chan2 n@l2 lis3 tik1
OPERATIONALIZABLE	@p3 phq1 ree0 chan2 n@l2 laj3 sa1 bql2
OPERATIONALIZE	@p3 phq1 ree0 chan2 n@l2 laj3
OPERATIONALIZED	@p3 phq1 ree0 chan2 n@l2 laj3
OPERATIONALIZING	@p3 phq1 ree0 chan2 n@l2 laj3 sing2
OPERATIONALLY	@p3 phq1 ree0 chan2 n@l2 lii2
OPERATIOND	@p3 phq1 ree0 chan2
OPERATIONED	@p3 phq1 ree0 chan2
OPERATIONISM	@p3 phq1 ree0 chan2 nis3 svm2
OPERATIONIST	@p3 phq1 ree0 chan2 nis3
OPERATIONS	@p3 phq1 ree0 chan2
OPERATIORS	@p3 phqq0 ree0 chi1 qq2
OPERATIOS	@p3 phqq0 ree0 chii0 @@s3
OPERATIVE	@p3 phq1 rq1 thiif1
OPERATIVELY	@p3 phq1 rq1 thiif3 lii2
OPERATIVENESS	@p3 phq1 rq1 thiif3 nees1
OPERATIVES	@p3 phq1 rq1 thiif1
OPERATIVITY	@p3 phq1 rq1 thi1 wi3 tii2
OPERATOR	@p3 phq1 ree0 tqq2
OPERATOR	@p3 phq1 ree0 tqq2
OPERATORING	@p3 phq1 ree0 thq1 ring2
OPERATORING	@p3 phq1 ree0 thq1 ring2
OPERATORS	@p3 phq1 ree0 tqq2
OPERATORSHIP	@p3 phq1 ree0 tqq2 chip3
OPERATORSHIPS	@p3 phq1 ree0 tqq0 chip3
OPERATORY	@p3 phq1 rq1 th@@0 rii2
OPERATRIX	@p3 phq1 ree0 thrik1
OPERETTA	@p3 phq1 ret3 taa2
OPERETTAS	@p3 phq1 ret3 taas2
OPERETTE	@p3 phq1 ret1
OPERETTES	@p3 phq1 ret1
OPERETTIST	@p3 phq1 ret3 this2
OPERON	@p3 phq1 r@@n2
OPERONS	@p3 phq1 r@@n2
OPEROSE	@@p3 roos3
OPEROSENESS	@@p3 roos3 nees1
OPHICLEIDE	@f3 fi3 khlaaj0
OPHIDIAN	@f3 fi3 diian2
OPHIDIANS	@f3 fi3 diian2
OPHIDION	@f3 fi3 diian2
OPHIDIOUS	@f3 fi3 diias2
OPHISM	@f3 fis3 svm2
OPHTHALMIA	@f3 thxxl0 miia0
OPHTHALMIC	@f3 thxxl0 mik1
OPHTHALMICS	@f3 thxxl0 mik1
OPHTHALMITE	@f3 thxxl0 maaj3
OPHTHALMOLOGIC	@f3 thxxl0 m@@0 lq1 cik1
OPHTHALMOLOGICAL	@f3 thxxl0 m@@0 lq1 ci1 khql2
OPHTHALMOLOGICALLY	@f3 thxxl0 m@@0 lq1 ci1 khq1 lii2
OPHTHALMOLOGIES	@f3 thxxl0 m@@0 lq1 cis1
OPHTHALMOLOGIST	@f3 thxxl0 m@@0 lq1 cis3
OPHTHALMOLOGISTS	@f3 thxxl0 m@@0 lq1 cis3
OPHTHALMOLOGY	@f3 thxxl0 m@@0 lq1 cii2
OPHTHALMOSCOPE	@f3 thxxl0 mqs3 khoop1
OPHTHALMOSCOPES	@f3 thxxl0 mqs3 khoop1
OPHTHALMOSCOPIC	@f3 thxxl0 mqs3 khoo0 pik1
OPHTHALMOSCOPICAL	@f3 thxxl0 mqs3 khoo0 pik1 khql2
OPHTHALMOSCOPIES	@f3 thxxl0 mqs3 khoo0 phii2
OPHTHALMOSTAT	@f3 thxxl0 mqs3 txt1
OPIATE	oo0 phii0 eet1
OPIATED	oo0 phi3 eet3 thet1
OPIATES	oo0 phii0 eet1
OPINE	a1 phaaj0
OPINED	a1 phaaj0
OPINER	a1 phaaj0 nqq2
OPINERS	a1 phaaj0 nees1
OPINES	a1 phaaj0
OPINING	a1 phaaj0 ning2
OPINION	a1 phi3 niian2
OPINIONABLE	a1 phi3 niian0 nee0 bql2
OPINIONATED	a1 phi3 niian0 neet3 thet1
OPINIONATEDLY	a1 phi3 niian0 neet3 thet1 lii2
OPINIONATEDNESS	a1 phi3 niian0 neet3 thet1 nees1
OPINIONATING	a1 phi3 niian0 nqt1 ting2
OPINIONATIVE	a1 phi3 niian0 nqt1 thiif1
OPINIONATIVELY	a1 phi3 niian0 nqt1 thiif1 lii2
OPINIONATIVENESS	a1 phi3 niian0 nqt1 thiif1 nees1
OPINIONED	a1 phi3 niian0
OPINIONIST	a1 phi3 niian0 nis3
OPINIONS	a1 phi3 niian2
OPIUM	oo0 phiiam2
OPIUMISMS	oo0 phiiam2 mis3 svm2
OPIUMS	oo0 phiiam2
OPODELDOC	oo0 phoo0 deel0 d@k3
OPOPANAX	oo0 ph@3 phq1 nxk1
OPOSSUM	a1 ph@s3 svm2
OPOSSUMS	a1 ph@s3 svm2
OPP	@p3
OPPEL	@p3 phql2
OPPER	@p3 phqq2
OPPERES	@p3 phqq2
OPPERES	@p3 phqq2
OPPERMAN	@p3 phqq2 mxxn0
OPPERMANN	@p3 phqq2 mxxn0
OPPIDAN	@p3 phi3 dqn2
OPPIDANS	@p3 phi3 dqn2
OPPIES	@p3 phii2
OPPLIGER	@p3 phlaaj0 kqq2
OPPOINTMENTS	qp3 ph@@j3 men3
OPPONENCY	qp3 ph@@0 nqn1 sii2
OPPONENT	qp3 ph@@0 nen3
OPPONENTS	qp3 ph@@0 nen3
OPPORTUITY	@p3 phq1 thiw0 i1 tii2
OPPORTUNE	@p3 phq1 thuun0
OPPORTUNELY	@p3 phq1 thuun0 lii2
OPPORTUNING	@p3 phq1 thuun0 ning2
OPPORTUNIS	@p3 phq1 thuu0 nees1
OPPORTUNISM	@p3 phq1 thuu0 nis3 svm2
OPPORTUNIST	@p3 phq1 thuu0 nis3
OPPORTUNISTIC	@p3 phq1 thuu0 nis3 tik1
OPPORTUNISTICALLY	@p3 phq1 thuu0 nis3 ti1 khq1 lii2
OPPORTUNISTS	@p3 phq1 thuu0 nis3
OPPORTUNITES	@p3 phq1 thuu0 naj3
OPPORTUNITIES	@p3 phq1 thuu0 ni3 tii2
OPPORTUNITY	@p3 phq1 thuu0 ni3 tii2
OPPOSABILITIES	qp3 phoos3 sa1 bi1 li3 tii2
OPPOSABILITY	qp3 phoos3 sa1 bi1 li3 tii2
OPPOSABLE	qp3 phoos3 sa1 bql2
OPPOSE	qp3 phoos3
OPPOSED	qp3 phoos3
OPPOSER	qp3 phoos3 sqq2
OPPOSERS	qp3 phoos3 sqqs2
OPPOSES	qp3 phoos3 ses1
OPPOSING	qp3 phoos3 sing2
OPPOSINGLY	qp3 phoos3 sing2 lii2
OPPOSIT	@p3 phq1 sit1
OPPOSITE	@p3 phq1 sit1
OPPOSITELY	@p3 phq1 sit3 lii2
OPPOSITENESS	@p3 phq1 sit3 nees1
OPPOSITES	@p3 phq1 sit1
OPPOSITIAN	@p3 phq1 sit3 thiian2
OPPOSITION	@p3 phq1 si3 chan2
OPPOSITIONAL	@p3 phq1 si3 chan2 n@l2
OPPOSITIONALISM	@p3 phq1 si3 chan2 n@l2 lis3 svm2
OPPOSITIONALLY	@p3 phq1 si3 chan2 nxxl0 laaj0
OPPOSITIONARY	@p3 phq1 si3 chan2 nqs1 rii2
OPPOSITIONISM	@p3 phq1 si3 chan2 nis3 svm2
OPPOSITIONLESS	@p3 phq1 si3 chan2 n@l2 lees1
OPPOSITIONS	@p3 phq1 si3 chan2
OPPRESS	qp3 phres3
OPPRESSED	qp3 phres3
OPPRESSER	qp3 phres3 sqq2
OPPRESSES	qp3 phres3 ses1
OPPRESSIBLE	qp3 phres3 si1 bql2
OPPRESSING	qp3 phres3 si1 sing2
OPPRESSION	qp3 phres3 chan2
OPPRESSIONIST	qp3 phres3 chan2 nis3
OPPRESSIONS	qp3 phres3 chan2
OPPRESSIVE	qp3 phres3 siif1
OPPRESSIVELY	qp3 phres3 siif1 lii2
OPPRESSIVENESS	qp3 phres3 siif1 nees1
OPPRESSOR	qp3 phres3 sqq2
OPPRESSOR	qp3 phres3 sqq2
OPPRESSORS	qp3 phres3 sqqs2
OPPREST	@p3 phres3
OPPROBRIOUS	qp3 phr@@0 briias2
OPPROBRIOUSLY	qp3 phr@@0 briias2 lii2
OPPROBRIOUSNESS	qp3 phr@@0 briias3 nees1
OPPROBRIUM	qp3 phr@@0 briiam2
OPPROBRIUMS	qp3 phr@@0 briiam2
OPPUGN	qp3 phiw0
OPPUGNANCE	@p3 phak1 nqn2
OPPUGNANCY	@p3 phak1 nen0 sii2
OPPUGNANT	@p3 phak1 nen3
OPPUGNED	qp3 phiw0
OPPUGNER	@p3 phiw0 nqq2
OPPUGNING	qp3 phuu0 ning2
OPPUGNS	qp3 phiw0
OPT	@p3
OPTABLE	@p3 thee0 bql2
OPTABLENESS	@p3 thee0 bql2 nees1
OPTABLY	@p3 thee0 blii2
OPTANT	@p3 ten3
OPTATIVE	@p3 thq1 thiif1
OPTATIVELY	@p3 thq1 thiif1 lii2
OPTATIVES	@p3 thq1 thiif1
OPTED	@p3 thet1
OPTIC	@p3 tik1
OPTICA	@p3 ti1 khaa2
OPTICAL	@p3 ti1 khql2
OPTICALLY	@p3 ti1 khq1 lii2
OPTICALS	@p3 ti1 kql2
OPTICAN	@p3 ti1 khan2
OPTICANS	@p3 ti1 khan2
OPTICIAN	@p3 ti1 chan2
OPTICIANS	@p3 ti1 chan2
OPTICITY	@p3 tis3 si3 tii2
OPTICK	@p3 tik1
OPTICKS	@p3 tik1
OPTICO	@p3 ti1 khoo2
OPTICOLOR	@p3 ti1 khal1 loo2
OPTICON	@p3 ti1 khqn2
OPTICOPUPILLARY	@p3 ti1 kh@@0 phiw3 phil0 lq1 rii2
OPTICS	@p3 tik1
OPTIMA	@p3 thi1 mqq2
OPTIMACY	@p3 thi1 mqs2 sii2
OPTIMAL	@p3 thi1 mql2
OPTIMALLY	@p3 thi1 mql2 lii2
OPTIMATE	@p3 thi1 meet1
OPTIMATES	@p3 thi1 meet3 thes1
OPTIMATION	@p3 thi1 mee0 chan2
OPTIME	@p3 thi1 mii2
OPTIMETER	@p3 thi1 mii3 tqq2
OPTIMISE	@p3 thi1 maaj3
OPTIMISED	@p3 thi1 mis3
OPTIMISER	@p3 thi1 maaj3 sqq2
OPTIMISERS	@p3 thi1 maaj3 sqq2
OPTIMISES	@p3 thi1 maaj0 ses1
OPTIMISING	@p3 thi1 mis3 sing2
OPTIMISM	@p3 thi1 mis3 svm2
OPTIMISMS	@p3 thi1 mis3 svm2
OPTIMIST	@p3 thi1 mis3
OPTIMISTIC	@p3 thi1 mis3 tik1
OPTIMISTICAL	@p3 thi1 mis3 tik3 kh@l2
OPTIMISTICALLY	@p3 thi1 mis3 ti1 khq1 lii2
OPTIMISTISM	@p3 thi1 mis3 tis3 svm2
OPTIMISTS	@p3 thi1 mis3
OPTIMITY	@p3 thi1 mi3 tii2
OPTIMIZATION	@p3 thi1 maaj3 see0 chan2
OPTIMIZATIONS	@p3 thi1 maaj3 see0 chan2
OPTIMIZE	@p3 thi1 maaj3
OPTIMIZED	@p3 thi1 maaj3
OPTIMIZER	@p3 thi1 maaj3 sqq2
OPTIMIZERS	@p3 thi1 maaj3 sqqs2
OPTIMIZES	@p3 thi1 maaj0 ses1
OPTIMIZING	@p3 thi1 maaj3 sing2
OPTIMO	@p3 thi1 moo2
OPTIMUM	@p3 thi1 mqm2
OPTIMUMS	@p3 thi1 mqm2
OPTIMUS	@p3 thi1 mqq2
OPTING	@p3 ting2
OPTINGS	@p3 ting2
OPTINS	@p3 thin0
OPTION	@p3 chan2
OPTIONAL	@p3 chan2 n@l2
OPTIONALISES	@p3 chan2 n@l2 lis3 ses1
OPTIONALIZE	@p3 chan2 n@l2 laj3
OPTIONALIZES	@p3 chan2 n@l2 laaj0 ses1
OPTIONALLY	@p3 chan2 n@l2 lii2
OPTIONALS	@p3 chan2 n@l2
OPTIONED	@p3 chan2
OPTIONING	@p3 chan2 ning2
OPTIONS	@p3 chan2
OPTOLOGY	@p3 th@@l0 lq1 cii2
OPTOMETER	@p3 th@@m0 mi3 tqq2
OPTOMETRIC	@p3 th@@m0 mi3 thrik1
OPTOMETRICAL	@p3 th@@m0 mi3 thri1 khql2
OPTOMETRICALLY	@p3 th@@m0 mi3 thri1 khq1 lii2
OPTOMETRIES	@p3 th@@m0 mi3 thris1
OPTOMETRIST	@p3 th@@m0 mi3 thris1
OPTOMETRISTS	@p3 th@@m0 mi3 thris1
OPTONIC	@p3 th@@0 nik1
OPTONICS	@p3 th@@0 nik1
OPTONS	@p3 than2
OPTS	@p3
