GAB	kxp3
GENERALE	cen0 nqq0 rel0
GENERALES	cen0 nqq0 rel0
GENERALING	cen0 nqq0 rql0 ling2
GENERALIS	cen0 nqq0 rql0 lis3
GENERALISABILITY	cen0 nqq0 rql0 lis3 bil0 li3 tii2
GENERALISABLE	cen0 nqq0 rql0 laj3 see0 bql2
GENERALISABLES	cen0 nqq0 rql0 laj3 see0 bql2
GENERALISATION	cen0 nqq0 rql0 laj3 see0 chan0
GENERALISATIONAL	cen0 nqq0 rql0 laj3 see0 chan0 nal0
GENERALISATIONS	cen0 nqq0 rql0 laj3 see0 chan0
GENERALISED	cen0 nqq0 rql0 laj3
GENERALISER	cen0 nqq0 rql0 laj3 sqq2
GENERALISERS	cen0 nqq0 rql0 laj3 sqq2
GENERALISES	cen0 nqq0 rql0 laj3 ses1
GENERALISING	cen0 nqq0 rql0 laj3 sing2
GENERALISM	cen0 nqq0 rql0 lis3 svm2
GENERALISSIMA	cen0 nqq0 rql0 lis3 si1 maa2
GENERALISSIMO	cen0 nqq0 rql0 lis3 si1 moo2
GENERALISSIMOS	cen0 nqq0 rql0 lis3 si1 moos2
GENERALIST	cen0 nqq0 rql0 lis3
GENERALISTIC	cen0 nqq0 rql0 lis3 tik1
GENERALISTS	cen0 nqq0 rql0 lis3
GENERALITER	cen0 nqq0 rql0 lit3 tqq2
GENERALITIES	cen0 nqq0 rql0 li3 tii2
GENERALITY	cen0 nqq0 rql0 li3 tii2
GENERALIZABILITY	cen0 nqq0 rql0 laj3 bil0 li3 tii2
GENERALIZABLE	cen0 nqq0 rql0 laj3 see0 bql2
GENERALIZABLES	cen0 nqq0 rql0 laj3 see0 bql2
GENERALIZATION	cen0 nqq0 rql0 laj3 see0 chan0
GENERALIZATIONAL	cen0 nqq0 rql0 laj3 see0 chan0 nal0
GENERALIZATIONS	cen0 nqq0 rql0 laj3 see0 chan0
GENERALIZATIONSHIP	cen0 nqq0 rql0 laj3 see0 chan0 chip3
GENERALIZE	cen0 nqq0 rql0 laj3
GENERALIZEABLE	cen0 nqq0 rql0 laj3 see0 bql2
GENERALIZED	cen0 nqq0 rql0 laj3
GENERALIZER	cen0 nqq0 rql0 laj3 sqq2
GENERALIZERS	cen0 nqq0 rql0 laj3 sqq2
GENERALIZES	cen0 nqq0 rql0 laj3 ses1
GENERALIZING	cen0 nqq0 rql0 laj3 sing2
GENERALLY	cen0 nqq0 rql2 lii2
GENERALNESS	cen0 nqq0 rql0 nees1
GENERALS	cen0 nqq0 rql2
GENERALSHIP	cen0 nqq0 rql0 chip3
GENERALSHIPS	cen0 nqq0 rql0 chip3
GENERALTY	cen0 nqq0 rql0 tii2
GENERANT	cen0 nqq0 rxn3
GENERATABILITY	cen0 nqq0 rxt3 thql0 bil0 li3 tii2
GENERATE	cen0 nqq0 reet1
GENERATED	cen0 nqq0 reet3 thet1
GENERATER	cen0 nqq0 reet3 tqq2
GENERATES	cen0 nqq0 reet1
GENERATING	cen0 nqq0 reet1 ting2
GENERATION	cen0 nqq0 ree0 chan0
GENERATIONAL	cen0 nqq0 ree0 chan0 nal0
GENERATIONALLY	cen0 nqq0 ree0 chan0 nal0 lii2
GENERATIONES	cen0 nqq0 ree0 chan0
GENERATIONISM	cen0 nqq0 ree0 chan0 nis3 svm2
GENERATIONS	cen0 nqq0 ree0 chan0
GENERATIORS	cen0 nqq0 ree0 chiia0
GENERATIVE	cen0 nqq0 ree0 thiif1
GENERATIVELY	cen0 nqq0 ree0 thiif1 lii2
GENERATIVENESS	cen0 nqq0 ree0 thiif1 nees1
GENERATIVITY	cen0 nqq0 ree0 thiif3 wi3 tii2
GENERATOR	cen0 nqq0 ree0 tqq2
GENERATORS	cen0 nqq0 ree0 tqq2
GENERATRICES	cen0 nqq0 ree0 thris3
GENERATRIX	cen0 nqq0 reet1 thrik1
GENERIC	cen0 nqq0 rik1
GENERICA	cen0 nqq0 rik3 kaa2
GENERICAL	cen0 nqq0 rik3 khql2
GENERICALLY	cen0 nqq0 rik3 khql2 lii2
GENERICALNESS	cen0 nqq0 rik3 khql0 nees1
GENERICS	cen0 nqq0 rik1
GENERON	cen0 nqq0 r@n2
GENEROSITIES	cen0 nqq0 r@s3 si3 tii2
GENEROSITY	cen0 nqq0 r@s3 si3 tii2
GENEROUS	cen0 nqq0 rqqs2
GENEROUSLY	cen0 nqq0 ras3 lii2
GENEROUSNESS	cen0 nqq0 ras3 nees1
GENERY	cen0 nqq0 rii2
GENES	ciin0
GENESCO	cen0 nees3 koo2
GENESEE	ciin0 sii2
GENESES	ciin0 ses1
GENESIS	cen0 ni3 sis1
GENESON	ciin0 san2
GENESSEE	ciin0 sii2
GENEST	cen0 nees1
GENET	cen0 net1
GENETIC	cen0 nee0 tik1
GENETICAL	cen0 nee0 tik1 khql2
GENETICALLY	cen0 nee0 tik1 khql2 lii2
GENETICISM	cen0 nee0 tik1 sis3 svm2
GENETICIST	cen0 nee0 ti1 sis3
GENETICISTS	cen0 nee0 ti1 sis3
GENETICS	cen0 nee0 tik1
GENETRON	cen0 nee0 tr@n2
GENETS	cen0 net1
GENEVA	cen0 nii0 waa2
GENEVAN	cen0 nii0 wxxn0
GENEVAS	cen0 nii0 waas2
GENEVE	cen0 niif3 
GENEVER	cen0 nii0 wqq2
GENEX	ciin0 nek1
GENEXUS	ciin0 nek3 sas3
GENIAL	ciin0 niial0
GENIALITIES	ciin0 niial0 li3 tii2
GENIALITY	ciin0 niial0 li3 tii2
GENIALLY	ciin0 niial0 lii2
GENIAN	cen0 niian2
GENIE	ciin0 nii2
GENIES	ciin0 nii2
GENII	ciin0 nii2
GENIS	ciin0 nis3
GENISTA	ciin0 nis3 taa2
GENITAL	cen0 nit3 thql2
GENITALIC	cen0 nit3 thxl0 lik1
GENITALS	cen0 nit3 thql2
GENITIVAL	cen0 ni3 thiif3 wql2
GENITIVE	cen0 ni3 thiif1
GENITIVES	cen0 ni3 thiif1
GENITO	cen0 ni3 too2
GENITOR	cen0 ni3 tqq2
GENITORIAL	cen0 ni3 t@@0 riial0
GENITORS	cen0 ni3 tqq2
GENITORY	cen0 ni3 tqq0 rii2
GENITOURINARY	cen0 ni3 thuua0 rin0 naa0 rii2
GENITURE	cen0 nich3 chqq2
GENITURES	cen0 nich3 chqq2
GENIUS	cii0 niias2
GENIUSES	cii0 niias2
GENKEN	cen0 ken0
GENKIN	cen0 kin2
GENMAR	cen0 maa0
GENMARK	cen0 maak3
GENNED	cen0
GENNET	cen0 net1
GENNETT	cen0 net1
GENNIFER	cen0 ni3 fqq2
GENNING	cen0 ning2
GENNINGS	cen0 ning2
GENNIS	cen0 nis3
GENOA	cen0 n@@0
GENOAS	cen0 n@@s3
GENOCIDAL	cen0 noo0 saj0 dql2
GENOCIDE	cen0 noo0 saaj0
GENOCIDED	cen0 noo0 saaj0
GENOCIDES	cen0 noo0 saaj0
GENOVA	cen0 noo0 waa2
GENRAD	cen0 raat1
GENRAM	cen0 rxxm0
GENRE	c@@ng0 rqq2
GENREAL	cen0 riial0
GENRES	c@@ng0 rqq2
GENRICH	cen0 rich3
GENS	cen0
GENSER	cen0 sqq2
GENSING	cen0 sing2
GENSON	cen0 san2
GENSTAR	cen0 sa1 taa0
GENSTAT	cen0 sa1 txt1
GENT	cen3
GENTAN	cen0 thxxn0
GENTEC	cen0 thek1
GENTECH	cen0 thek1
GENTEEL	cen0 thiil0
GENTEELER	cen0 thiil0 lqq2
GENTEELEST	cen0 thiil0 lees3
GENTEELLY	cen0 thiil0 lii2
GENTEELNESS	cen0 thiil0 nees1
GENTEELS	cen0 thiil0
GENTEELY	cen0 thiil0 lii2
GENTEL	cen0 thel0
GENTER	cen0 thqq2
GENTES	cen0 thes1
GENTEST	cen0 thees3
GENTET	cen0 thet1
GENTEX	cen0 thek1
GENTHE	cen0 dqq2
GENTHER	cen0 thqq2
GENTIALS	cen0 chiial0
GENTIAN	cen0 chiian2
GENTIANS	cen0 chiian2
GENTICS	cen0 tik1
GENTIL	cen0 thil0
GENTILE	cen0 taaj0
GENTILES	cen0 taaj0
GENTILIC	cen0 thil0 lik1
GENTILIS	cen0 thil0 lis3
GENTILISATION	cen0 thil0 laj3 see0 chan0
GENTILISE	cen0 thil0 laj3
GENTILISES	cen0 thil0 laj3 ses1
GENTILISM	cen0 thil0 lis3 svm2
GENTILITIES	cen0 thil0 li3 tii2
GENTILITY	cen0 thil0 li3 tii2
GENTILIZATION	cen0 thil0 laj3 see0 chan0
GENTILIZE	cen0 thil0 laj3
GENTILIZES	cen0 thil0 laj0 ses1
GENTILLON	cen0 thil0 liian2
GENTILLY	cen0 thil0 lii2
GENTILMAN	cen0 thil0 mxxn0
GENTINE	cen0 thaaj0
GENTING	cen0 ting2
GENTIS	cen0 this3
GENTIUM	cen0 chiiam2
GENTLE	cen0 thql2
GENTLED	cen0 thql2
GENTLEFOLK	cen0 thql0 fook3
GENTLEFOLKS	cen0 thql0 fook3
GENTLEMAN	cen0 thql0 mxxn0
GENTLEMANHOOD	cen0 thql0 mxxn0 huut3
GENTLEMANISES	cen0 thql0 mxxn0 naj3 ses1
GENTLEMANISM	cen0 thql0 mxxn0 nis3 svm2
GENTLEMANIZE	cen0 thql0 mxxn0 naj3
GENTLEMANIZES	cen0 thql0 mxxn0 naj3 ses1
GENTLEMANLIKE	cen0 thql0 mxxn0 laj3
GENTLEMANLIKENESS	cen0 thql0 mxxn0 laj3 nees1
GENTLEMANLINESS	cen0 thql0 mxxn0 li3 nees1
GENTLEMANLY	cen0 thql0 mxxn0 lii2
GENTLEMANS	cen0 thql0 mxxn0
GENTLEMANSHIP	cen0 thql0 mxxn0 chip3
GENTLEMEN	cen0 thql0 men0
GENTLEMENS	cen0 thql0 men0
GENTLEMENT	cen0 thql0 men3
GENTLENESS	cen0 thql0 nees1
GENTLER	cen0 thql0 lqq2
GENTLERS	cen0 thql0 lqq2
GENTLES	cen0 thql2
GENTLESHIP	cen0 thql0 chip3
GENTLEST	cen0 thql0 lees1
GENTLEWOMAN	cen0 thql0 wuu0 mxn2
GENTLEWOMANHOOD	cen0 thql0 wuu0 mxn2 huut3
GENTLEWOMANISH	cen0 thql0 wuu0 mxxn0 nich3
GENTLEWOMANLIKE	cen0 thql0 wuu0 mxn2 laj3
GENTLEWOMANLY	cen0 thql0 wuu0 mxxn0 lii2
GENTLEWOMEN	cen0 thql0 wii0 men2
GENTLING	cen0 thql0 ling2
GENTLY	cen0 thql2 lii2
GENTMAN	cen3 mxxn0
GENTNER	cen3 nqq2
GENTON	cen0 tan2
GENTOR	cen0 tqq2
GENTRA	cen0 thraa2
GENTRAC	cen0 thrxk1
GENTRADE	cen0 threet1
GENTRIES	cen0 thrii2
GENTRIFICATION	cen0 thri3 fik3 khee0 chan0
GENTRIFICATIONS	cen0 thri3 fik3 khee0 chan0
GENTRIFIED	cen0 thri3 faaj0
GENTRIFIERS	cen0 thri3 faaj0 qq2
GENTRIFY	cen0 thri3 faaj0
GENTRIFYING	cen0 thri3 faaj0 ing2
GENTRY	cen0 thrii2
GENTRYS	cen0 thrii2
GENTS	cen3
GENUFLECT	cen0 nuu0 flek1
GENUFLECTED	cen0 nuu0 flek3 thet1
GENUFLECTING	cen0 nuu0 flek3 ting2
GENUFLECTINGLY	cen0 nuu0 flek3 ting0 lii2
GENUFLECTION	cen0 nuu0 flek3 chan0
GENUFLECTIONS	cen0 nuu0 flek3 chan0
GENUFLECTOR	cen0 nuu0 flek3 tqq2
GENUFLECTORY	cen0 nuu0 flek3 t@@0 rii2
GENUFLECTS	cen0 nuu0 flek1
GENUFLEXION	cen0 nuu0 flek3 chan0
GENUFLEXIONS	cen0 nuu0 flek3 chan0
GENUINE	cen0 nuu0 iin0
GENUINELY	cen0 nuu0 iin0 lii2
GENUINENESS	cen0 nuu0 iin0 nees1
GENUIS	cen0 nuu0 is3
GENUISES	cen0 nuu0 is3 ses1
GENUS	cii0 nas2
GENUSES	cii0 nas3 ses1
GENZEN	cen0 sen2
GENZYME	cen0 saaj0
GEOCENTRIC	cii0 oo0 sen0 thrik1
GEOCENTRICAL	cii0 oo0 sen0 thrik3 khql2
GEOCENTRICALLY	cii0 oo0 sen0 thrik3 khql2 lii2
GEOCENTRICISM	cii0 oo0 sen0 thrik1 sis3 svm2
GEODE	cii0 oot1
GEODES	cii0 oot1
GEODESIC	cii0 @@t1 des3 sik3
GEODESICAL	cii0 @@t1 des3 sik1 khql2
GEODESICALLY	cii0 @@t1 des3 sik1 khql2 lii2
GEODESICS	cii0 @@t1 des3 sik1
GEODESY	cii0 @@t1 des3 sii2
GEODETIC	cii0 @@t1 det3 tik1
GEOFF	ceef3 
GEOFFR	cef3 fqq2
GEOFFREY	cef3 frii2
GEOFFREYS	cef3 frii2
GEOFFRION	cef3 friian2
GEOFFRON	cef3 fr@n2
GEOFFROY	cef3 fr@@j0
GEOGRAPHER	cii0 @@0 kraaf3 fqq2
GEOGRAPHERS	cii0 @@0 kraaf3 fqq2
GEOGRAPHIC	cii0 @@0 kraaf3 fik1
GEOGRAPHICAL	cii0 @@0 kraaf3 fik1 khql2
GEOGRAPHICALLY	cii0 @@0 kraaf3 fik1 khql2 lii2
GEOGRAPHICS	cii0 @@0 kraaf3 fik1
GEOGRAPHY	cii0 @@0 kraaf3 fii2
GEOLOGIC	cii0 @@0 l@@0 cik1
GEOLOGICAL	cii0 @@0 l@@0 ci1 khql2
GEOLOGICALLY	cii0 @@0 l@@0 ci1 khql2 lii2
GEOLOGISE	cii0 @@0 l@@0 caj3
GEOLOGISED	cii0 @@0 l@@0 caj3
GEOLOGISES	cii0 @@0 l@@0 caj3 ses1
GEOLOGIST	cii0 @@0 l@@0 cis3
GEOLOGISTS	cii0 @@0 l@@0 cis3
GEOLOGIZE	cii0 @@0 l@@0 caj3
GEOLOGIZED	cii0 @@0 l@@0 caj3
GEOLOGIZES	cii0 @@0 l@@0 caj3 ses1
GEOLOGIZING	cii0 @@0 l@@0 caj3 sing2
GEOLOGY	cii0 @@0 l@@0 cii2
GEOMAGNETIC	cii0 @@0 mxk3 nee0 tik1
GEOMAGNETICALLY	cii0 @@0 mxk3 nee0 tik1 khql2 lii2
GEOMAGNETICS	cii0 @@0 mxk3 nee0 tik1
GEOMAGNETISM	cii0 @@0 mxk3 nee0 tis3 svm2
GEOMAGNETIST	cii0 @@0 mxk3 nee0 tis3
GEOMAGNETISTS	cii0 @@0 mxk3 nee0 tis3
GEOMANAGEMENT	cii0 @@0 mxxn0 neec1 men3
GEOMANCE	cii0 @@0 mxn3
GEOMANCER	cii0 @@0 mxxn0 sqq2
GEOMANCERS	cii0 @@0 mxxn0 sqq2
GEOMANCY	cii0 @@0 mxxn0 sii2
GEOMANTIC	cii0 @@0 mxxn0 tik1
GEOMANTICAL	cii0 @@0 mxxn0 tik1 khql2
GEOMANTICALLY	cii0 @@0 mxxn0 tik1 khql2 lii2
GEOMETER	cii0 @@0 mi3 tqq2
GEOMETERS	cii0 @@0 mi3 tqq2
GEOMETRA	cii0 @@0 met3 thraa2
GEOMETRIA	cii0 @@0 met3 thriia0
GEOMETRIC	cii0 @@0 met3 thrik1
GEOMETRICAL	cii0 @@0 met3 thrik1 khql2
GEOMETRICALLY	cii0 @@0 met3 thrik1 khql2 lii2
GEOMETRICALS	cii0 @@0 met3 thrik1 khql2
GEOMETRICIAN	cii0 @@0 met3 thrich3 chiian2
GEOMETRICIANS	cii0 @@0 met3 thrich3 chiian2
GEOMETRICISE	cii0 @@0 mee0 thris3 saj3
GEOMETRICISES	cii0 @@0 mee0 thris3 saj0 ses1
GEOMETRICIZE	cii0 @@0 mee0 thris3 saj3
GEOMETRICIZED	cii0 @@0 mee0 thris3 saj3
GEOMETRICIZES	cii0 @@0 mee0 thris3 saj0 ses1
GEOMETRICKS	cii0 @@0 met3 thrik1
GEOMETRICS	cii0 @@0 met3 thrik1
GEOMETRID	cii0 @@0 met3 thrit1
GEOMETRIES	cii0 @@0 met3 thrii2
GEOMETRY	cii0 @@0 met3 thrii2
GEOPHONES	cii0 @@0 foon0
GEOPHYSIC	cii0 @@0 fis3 sik1
GEOPHYSICAL	cii0 @@0 fis3 si1 khql2
GEOPHYSICALLY	cii0 @@0 fis3 si1 khql2 lii2
GEOPHYSICIAN	cii0 @@0 fi3 sik1 chiian2
GEOPHYSICIST	cii0 @@0 fi3 sik1 sis3
GEOPHYSICISTS	cii0 @@0 fi3 sik1 sis3
GEOPHYSICS	cii0 @@0 fi3 sik1
GEOPHYSIQUE	cii0 @@0 fi3 siik1
GEOPOLITIC	cii0 @@0 phoo0 li3 thik1
GEOPOLITICAL	cii0 @@0 phoo0 li3 thik1 khql2
GEOPOLITICALLY	cii0 @@0 phoo0 li3 thik1 khql2 lii2
GEOPOLITICAN	cii0 @@0 phoo0 li3 thi1 khan2
GEOPOLITICIAN	cii0 @@0 phoo0 li3 thi1 chiian2
GEOPOLITICIANS	cii0 @@0 phoo0 li3 thi1 chiian2
GEOPOLITICS	cii0 @@0 phoo0 li3 thik1
GEOPOLITICUS	cii0 @@0 phoo0 li3 thik1 kas3
GEORGE	c@@c3
GEORGER	c@@c3 cqq2
GEORGES	c@@c3
GEORGESON	c@@c3 san2
GEORGETOWN	c@@c3 thaaw0
GEORGETOWNS	c@@c3 thaaw0
GEORGETTE	c@@0 cet1
GEORGETTES	c@@0 cet1
GEORGIA	c@@0 ciia0
GEORGIADES	c@@0 ciia0 des1
GEORGIAN	c@@0 ciian2
GEORGIANS	c@@0 ciian2
GEORGIAS	c@@0 ciias2
GEORGIC	c@@0 cik1
GEORGICAL	c@@0 cik1 khql2
GEORGICS	c@@0 cik1
GEORGIE	c@@0 cii2
GERALD	cqq0 rql2
GERALDES	cqq0 rql2
GERALDI	cqq0 rql0 dii2
GERALDINE	cqq0 rql0 diin0
GERALDIS	cqq0 rql0 dis3
GERALDO	cqq0 rql0 doo2
GERALDOS	cqq0 rql0 doos2
GERALDS	cqq0 rql2
GERALES	cqq0 rel0
GERANIA	cqq0 ren0 niia0
GERANIAL	cqq0 ren0 niial0
GERANIALES	cqq0 ren0 niial0
GERANIUM	cqq0 ren0 niiam2
GERANIUMS	cqq0 ren0 niiam2
GERANT	cqq0 rxn3
GERANTS	cqq0 rxn3
GERARD	cqq0 raat1
GERARDS	cqq0 raat1
GERFALCON	cqq0 f@l0 kh@n2
GERIATIC	cqq0 ri3 xt3 tik1
GERIATRIC	cqq0 ri3 xt3 thrik1
GERIATRICAL	cqq0 ri3 xt3 thrik1 khql2
GERIATRICAS	cqq0 ri3 xt3 thrik1 kaas2
GERIATRICIAN	cqq0 ri3 xt3 thri3 chiian2
GERIATRICIANS	cqq0 ri3 xt3 thri3 chiian2
GERIATRICS	cqq0 ri3 xt3 thrik1
GERIATRIFIED	cqq0 ri3 xt3 thrik1 faaj0
GERIATRIST	cqq0 ri3 xt3 thris3
GERIATRIX	cqq0 ri3 xt3 thrik1
GERIATRY	cqq0 ri3 xt3 thrii2
GERICARE	cqq0 rik3 khxx0
GERICHT	cqq0 rich1
GERICHTS	cqq0 rich1
GERICK	cqq0 rik1
GERITS	cqq0 rit1
GERITY	cqq0 ri3 tii2
GERM	cq@m0
GERMAL	cqq0 m@l0
GERMAN	cqq0 man0
GERMANA	cqq0 man0 naa2
GERMANBORN	cqq0 man0 b@@n0
GERMAND	cqq0 man0
GERMANDER	cqq0 man0 dqq2
GERMANE	cqq0 men0
GERMANELY	cqq0 men0 lii2
GERMANENESS	cqq0 men0 nees1
GERMANIAN	cqq0 man0 niian2
GERMANIC	cqq0 mxxn0 nik1
GERMANICA	cqq0 mxxn0 ni3 kaa2
GERMANICAL	cqq0 mxxn0 ni3 khql2
GERMANICALLY	cqq0 mxxn0 ni3 khql2 lii2
GERMANICS	cqq0 mxxn0 nik1
GERMANIES	cqq0 man0 nii2
GERMANIS	cqq0 man0 nis3
GERMANISATION	cqq0 man0 naj3 see0 chan0
GERMANISE	cqq0 mxxn0 naj3
GERMANISED	cqq0 mxxn0 naj3
GERMANISER	cqq0 mxxn0 naj3 sqq2
GERMANISERS	cqq0 mxxn0 naj3 sqq2
GERMANISES	cqq0 mxxn0 naj3 ses1
GERMANISH	cqq0 man0 nich1
GERMANISING	cqq0 man0 naj3 sing2
GERMANISM	cqq0 man0 nis3 svm2
GERMANIST	cqq0 man0 nis3
GERMANISTIC	cqq0 man0 nis3 tik1
GERMANITY	cqq0 mxxn0 ni3 tii2
GERMANIZATION	cqq0 man0 naj3 see0 chan0
GERMANIZE	cqq0 man0 naj3
GERMANIZED	cqq0 man0 naj3
GERMANIZER	cqq0 man0 naj3 sqq2
GERMANIZERS	cqq0 man0 naj3 sqq2
GERMANIZES	cqq0 man0 naj3 ses1
GERMANIZING	cqq0 man0 naj3 sing2
GERMANLIKE	cqq0 man0 laj3
GERMANN	cqq0 mxxn0
GERMANNESS	cqq0 man0 nees1
GERMANOUS	cqq0 man0 nas2
GERMANS	cqq0 man0
GERMANSVILLE	cqq0 man0 wil0
GERMANTON	cqq0 man0 tan2
GERMANTOWN	cqq0 man0 thaaw0
GERMANY	cqq0 man0 nii0
GERMANYS	cqq0 man0 nii2
GERMER	cqq0 mqq2
GERMES	cq@m0
GERMFREE	cq@m0 frii0
GERMICIDAL	cqq0 mis3 saj0 dql2
GERMICIDE	cqq0 mis3 saaj0
GERMICIDES	cqq0 mis3 saaj0
GERMIN	cqq0 min0
GERMINABILITY	cqq0 min0 nql0 bil0 li3 tii2
GERMINABLE	cqq0 min0 nee0 bql2
GERMINAL	cqq0 min0 nal0
GERMINALLY	cqq0 min0 nal0 lii2
GERMINANCE	cqq0 min0 nxn3
GERMINANT	cqq0 min0 nxn3
GERMINATE	cqq0 min0 neet1
GERMINATED	cqq0 min0 neet3 thet1
GERMINATES	cqq0 min0 neet1
GERMINATING	cqq0 min0 neet3 ting2
GERMINATION	cqq0 min0 nee0 chan0
GERMINATIONS	cqq0 min0 nee0 chan0
GERMINATIVE	cqq0 min0 nee0 thiif1
GERMINATIVELY	cqq0 min0 nee0 thiif1 lii2
GERMINATOR	cqq0 min0 nee0 tqq2
GERMINATORS	cqq0 min0 nee0 tqq2
GERMINE	cqq0 miin0
GERMING	cq@m0 ming2
GERMINO	cqq0 mi3 noo2
GERMINS	cqq0 min0
GERMISTON	cqq0 mis3 tan2
GERMPROOF	cq@m0 phruuf3 
GERMS	cq@m0
GEROME	cqq0 room0
GEROMES	cqq0 room0
GERONDEAU	cee0 r@n0 doo2
GERONTE	cee0 r@n0 tii2
GERONTES	cee0 r@n0 tii2
GERONTIC	cee0 r@n0 tik1
GERONTICIDE	cee0 r@n0 tis3 saj3
GERONTICUS	cee0 r@n0 tik3 khqq2
GERONTINE	cee0 r@n0 taaj0
GERONTIS	cee0 r@n0 tii2
GERONTISM	cee0 r@n0 this3 svm2
GERONTO	cee0 r@n0 too2
GERONTOLOGICAL	cee0 r@n0 too0 l@@0 cik1 khql2
GERONTOLOGIES	cee0 r@n0 too0 l@@0 cii2
GERONTOLOGIST	cee0 r@n0 too0 l@@0 cis3
GERONTOLOGISTS	cee0 r@n0 too0 l@@0 cis3
GERONTOLOGY	cee0 r@n0 too0 l@@0 cii2
GERONTOTHERAPIES	cee0 r@n0 too0 thqq0 rxp3 pii2
GERONTOTHERAPY	cee0 r@n0 too0 thqq0 rxp3 pii2
GERRIE	cqq0 rii2
GERRIES	cqq0 rii2
GERRY	cqq0 rii2
GERRYMAN	cqq0 rii2 mxxn0
GERRYMANDER	cqq0 rii2 mxxn0 dqq2
GERRYMANDERED	cqq0 rii2 mxxn0 dqq2
GERRYMANDERER	cqq0 rii2 mxxn0 dqq0 rqq2
GERRYMANDERING	cqq0 rii2 mxxn0 dqq0 ring2
GERRYMANDERS	cqq0 rii2 mxxn0 dqq2
GERRYS	cqq0 rii2
GERTIE	kqq0 tii2
GERTIES	kqq0 tii2
GERTRUDE	kqq0 thruut3
GERTRUDES	kqq0 thruut3
GERUND	cqq0 ran2
GERUNDIAL	cqq0 ran0 diial0
GERUNDIVE	cqq0 ran0 daj3
GERUNDS	cqq0 ran2
GESSAMIN	ces3 min0
GESSAMINE	ces3 miin0
GESSEL	ces3 sql2
GESSO	ces3 soo2
GESSOED	ces3 soo2
GESSOES	ces3 soos2
GEST	ces3
GESTALT	ces3 t@l0
GESTALTEN	ces3 t@l0 then2
GESTALTS	ces3 t@l0
GESTANT	ces3 txn3
GESTAPO	kes3 taa0 poo2
GESTAPOS	kes3 taa0 poos2
GESTATE	ces3 teet1
GESTATED	ces3 teet3 thet1
GESTATES	ces3 teet1
GESTATING	ces3 teet1 ting2
GESTATION	ces3 tee0 chan0
GESTATIONAL	ces3 tee0 chan0 nal0
GESTATIONS	ces3 tee0 chan0
GESTATOR	ces3 tee0 tqq2
GESTE	ces3
GESTED	ces3 tet1
GESTEL	ces3 thql2
GESTER	ces3 tqq2
GESTERMANN	ces3 tqq2 mxxn0
GESTES	ces3
GESTIC	ces3 tik1
GESTICAL	ces3 tik1 khql2
GESTICULANT	ces3 ti1 khiw0 lxn3
GESTICULAR	ces3 ti1 khiw0 laa2
GESTICULATE	ces3 ti1 khiw0 leet1
GESTICULATED	ces3 ti1 khiw0 leet3 thet1
GESTICULATES	ces3 ti1 khiw0 leet1
GESTICULATING	ces3 ti1 khiw0 leet3 ting2
GESTICULATION	ces3 ti1 khiw0 lee0 chan0
GESTICULATIONS	ces3 ti1 khiw0 lee0 chan0
GESTICULATIVE	ces3 ti1 khiw0 lee0 thiif1
GESTICULATIVELY	ces3 ti1 khiw0 lee0 thiif1 lii2
GESTICULATOR	ces3 ti1 khiw0 lee0 tqq2
GESTICULATORS	ces3 ti1 khiw0 lee0 tqq2
GESTICULATORY	ces3 ti1 khiw0 lee0 th@@0 rii2
GESTIN	ces3 tin0
GESTING	ces3 ting2
GESTION	ces3 chan0
GESTIS	ces3 tis3
GESTON	ces3 tan2
GESTOSO	ces3 too0 soo2
GESTS	ces3
GESTURAL	ces3 chqq0 r@l0
GESTURALLY	ces3 chqq0 r@l0 lii2
GESTURE	ces3 chqq2
GESTURED	ces3 chqq2
GESTURER	ces3 chqq0 rqq2
GESTURERS	ces3 chqq0 rqq2
GESTURES	ces3 chqq2
GESTURING	ces3 chqq0 ring2
GESTURINGS	ces3 chqq0 ring2
GET	ket3
GETABILITY	ket3 tha1 bil0 li3 tii2
GETABLE	ket3 thqq0 bql2
GETANY	ket3 thaa0 nii2
GETAWAY	ket3 tha1 wee0
GETAWAYS	ket3 tha1 wee0
GETER	ket3 tqq2
GETHER	ket3 tqq2
GETHERED	ket3 tqq2
GETHERNESS	ket3 tqq2 nees1
GETHERS	ket3 tqq2
GETING	ket3 ting2
GETMAN	ket3 mxxn0
GETS	ket3
GETSINGER	ket3 sing0 ngqq2
GETSON	ket3 san2
GETTABLE	ket3 thqq0 bql2
GETTEL	ket3 thql2
GETTELL	ket3 thel0
GETTELMAN	ket3 thql0 mxxn0
GETTER	ket3 tqq2
GETTERED	ket3 tqq2
GETTERMAN	ket3 tqq2 mxxn0
GETTERS	ket3 tqq2
GETTIG	ket3 tik1
GETTIN	ket3 thin2
GETTING	ket3 ting2
GETTINGER	ket3 ting0 ngqq2
GETTINGING	ket3 ting0 nging2
GETTINGS	ket3 ting2
GETTINS	ket3 thin2
GETTIS	ket3 tis3
GETUP	ket3 thap2
GETUPS	ket3 thap2
GEUM	ciiam2
GEUMS	ciiam2
GEWGAW	kiw0 khoo0
GEWGAWED	kiw0 khoo0
GEWGAWS	kiw0 khoo0
GEYSER	kaj0 sqq2
GEYSERED	kaj0 sqq2
GEYSERING	kaj0 sqq0 ring2
GEYSERS	kaj0 sqq2
GHANA	kaa0 naa2
GHANAIAN	kaa0 naa0 iian2
GHANAIANS	kaa0 naa0 iian2
