UBIQUARIAN	juu0 bi1 khw@@0 riian2
UNGENTRIFIED	an0 cen0 thri1 faaj0
UNGENUINE	an0 cee0 nuu0 in0
UNGENUINELY	an0 cee0 nuu0 in0 lii2
UNGENUINENESS	an0 cee0 nuu0 in0 nees1
UNGERER	an0 cqq0 rqq2
UNGESTING	an0 ces3 ting2
UNGESTURING	an0 ces3 chqq2 ring2
UNGIRD	an0 kqqt3
UNGIRDED	an0 kqqt3 det1
UNGIRDLE	an0 kqq0 dql2
UNGIRDLED	an0 kqq0 dql2 let1
UNGLASSED	an0 klaas3
UNGLAZE	an0 klees3
UNGLAZED	an0 klees3
UNGLOATING	an0 kloot3 ting2
UNGLOBE	an0 kloop3
UNGLORIFIED	an0 kl@@0 ri1 faaj0
UNGLORIFY	an0 kl@@0 ri1 faaj0
UNGLORIFYING	an0 kl@@0 ri1 faaj0 ing2
UNGLORIOUS	an0 kl@@0 riias2
UNGLORIOUSLY	an0 kl@@0 riias2 lii2
UNGLORIOUSNESS	an0 kl@@0 riias2 nees1
UNGLORY	an0 kl@@0 rii2
UNGLOVE	an0 kloof3
UNGLOVED	an0 kloof3
UNGLUE	an0 kluu0
UNGLUED	an0 kluut2
UNGLUEING	an0 kluu0 ing2
UNGLUING	an0 kluu0 ing2
UNGLUTINATE	an0 kluu0 thi1 neet1
UNGODDESS	an0 k@@t3 des1
UNGODLIER	an0 k@@t3 li1 qq2
UNGODLIKE	an0 k@@t3 laj3
UNGODLINESS	an0 k@@t3 li1 nees1
UNGODLY	an0 k@@t3 lii2
UNGOTTEN	an0 k@t3 then2
UNGOVERN	an0 kaf3 wqqn2
UNGOVERNABILITY	an0 kaf3 wqqn0 nq1 bi1 li3 tii2
UNGOVERNABLE	an0 kaf3 wqqn0 nee0 bql2
UNGOVERNABLENESS	an0 kaf3 wqqn0 nee0 bql2 nees1
UNGOVERNABLY	an0 kaf3 wqqn2 nee0 blii2
UNGOVERNED	an0 kaf3 wqqn2
UNGOVERNING	an0 kaf3 wqqn0 ning2
UNGOWN	an0 kaaw0
UNGOWNED	an0 kaaw0
UNGRACE	an0 krees3
UNGRACED	an0 krees3
UNGRACEFUL	an0 krees3 fuul0
UNGRACEFULLY	an0 krees3 fuul0 lii2
UNGRACEFULNESS	an0 krees3 fuul0 nees1
UNGRACIOUS	an0 kree0 chiias2
UNGRACIOUSLY	an0 kree0 chiias3 lii2
UNGRACIOUSNESS	an0 kree0 chiias3 nees1
UNGRADED	an0 kreet3 det1
UNGRADES	an0 kreet1
UNGRAFT	an0 kraaf3
UNGRAFTED	an0 kraaf3 thet1
UNGRAIN	an0 kreen0
UNGRAINABLE	an0 kreen0 nee0 bql2
UNGRAINED	an0 kreen0
UNGRAMMATIC	an0 krxxm0 mxt3 thik1
UNGRAMMATICAL	an0 krxxm0 mxt3 thi1 kh@l2
UNGRAMMATICAL	an0 krxxm0 mxt3 thi1 kh@l2
UNGRAMMATICALITIES	an0 krxxm0 mxt3 thi1 kh@l2 li3 tii2
UNGRAMMATICALITY	an0 krxxm0 mxt3 thi1 kh@l2 li3 tii2
UNGRAMMATICALLY	an0 krxxm0 mxt3 thi1 khq1 lii2
UNGRAMMATICALNESS	an0 krxxm0 mxt3 thi1 kh@l2 nees1
UNGRAMMATICISM	an0 krxxm0 mxt3 thi1 sis3 svm2
UNGRATED	an0 kreet3 thet1
UNGRATEFUL	an0 kreet3 fuul0
UNGRATEFULLY	an0 kreet3 fuul0 lii2
UNGRATEFULNESS	an0 kreet3 fuul0 nees1
UNGRATING	an0 kreet3 ting2
UNGRAVE	an0 kreef3
UNGRAVED	an0 kreef3
UNGRAVELY	an0 kreef3 lii2
UNGRAVEN	an0 kreef3 wqn2
UNGRAYED	an0 kreet2
UNGRAZED	an0 krees3
UNGREASED	an0 kriis3
UNGREEABLE	an0 krii0 a1 bql2
UNGREEDY	an0 kriit3 dii2
UNGREEN	an0 kriin0
UNGREENED	an0 kriin0
UNGREETED	an0 kriit3 thet1
UNGROANING	an0 kroon0 ning2
UNGROSS	an0 kr@@s3
UNGROUND	an0 kraaw0
UNGROUNDABLE	an0 kraaw0 dee0 bql2
UNGROUNDABLY	an0 kraaw0 dee0 blii2
UNGROUNDED	an0 kraaw0 det1
UNGROUNDEDLY	an0 kraaw0 det1 lii2
UNGROUNDEDNESS	an0 kraaw0 det1 nees1
UNGROUP	an0 kruup3
UNGROUPED	an0 kruup3
UNGROUPING	an0 kruup3 ping2
UNGROW	an0 kroo0
UNGROWING	an0 kroo0 ing2
UNGROWN	an0 kroon0
UNGRUBBED	an0 krap3
UNGRUDGED	an0 krac3
UNGRUDGING	an0 krac3 cing2
UNGRUDGINGLY	an0 krac3 cing2 lii2
UNGRUDGINGNESS	an0 krac3 cing2 nees1
UNGRUFF	an0 kraf3
UNGRUMBLING	an0 kram3 bling2
UNGUARD	an0 kaat1
UNGUARDED	an0 kaat3 det1
UNGUARDEDLY	an0 kaat3 det1 lii2
UNGUARDEDNESS	an0 kaat3 det1 nees1
UNGUENT	ang0 kwen2
UNGUENTARIUM	ang0 kwen0 thxx0 riiam2
UNGUENTIFEROUS	ang0 kwen0 thi1 fqq0 rqqs2
UNGUENTS	ang0 kwen3
UNGUIDED	an0 kaj3 det1
UNGUIDEDLY	an0 kaj3 det1 lii2
UNGULA	an0 kiw0 laa2
UNGULAE	an0 kiw0 lii2
UNGULAR	an0 kiw0 laa2
UNGULATE	ang0 kiw0 leet1
UNGULATED	ang0 kiw0 leet3 thet1
UNGULATES	ang0 kiw0 leet1
UNHABIT	an0 hxxp3 bit1
UNHABITABLE	an0 hxxp3 bit3 thee0 bql2
UNHABITABLENESS	an0 hxxp3 bit3 thee0 bql2 nees1
UNHABITED	an0 hxxp3 bit3 thet1
UNHALLOW	an0 hxxl0 loo2
UNHALLOWD	an0 hxxl0 loot2
UNHALLOWED	an0 hxxl0 loot2
UNHAMMERED	an0 hxxm0 mqq2
UNHAMPER	an0 hxxm0 pqq2
UNHAMPERED	an0 hxxm0 pqq2
UNHAMSTRUNG	an0 hxxm0 sa1 trang0
UNHAND	an0 hxxn0
UNHANDCUFF	an0 hxxn0 khaf3
UNHANDCUFFED	an0 hxxn0 khaf3
UNHANDED	an0 hxxn0 det1
UNHANDICAPPED	an0 hxxn0 dii2 khxp1
UNHANDIER	an0 hxxn0 di1 qq2
UNHANDIEST	an0 hxxn0 di1 es1
UNHANDILY	an0 hxxn0 di1 lii2
UNHANDINESS	an0 hxxn0 di1 nees1
UNHANDING	an0 hxxn0 ding2
UNHANDLED	an0 hxxn0 dql2
UNHANDS	an0 hxxn0
UNHANDSELED	an0 hxxn0 sql2
UNHANDSOME	an0 hxxn0 sam2
UNHANDSOMELY	an0 hxxn0 sam2 lii2
UNHANDSOMENESS	an0 hxxn0 sam2 nees1
UNHANDY	an0 hxxn0 dii2
UNHANG	an0 hxxng0
UNHANGED	an0 hxxng0
UNHAPPEN	an0 hxp3 phen2
UNHAPPENING	an0 hxp3 phen0 ning2
UNHAPPENINGS	an0 hxp3 phen0 ning2
UNHAPPIE	an0 hxp3 phaaj0
UNHAPPIER	an0 hxp3 phi1 qq2
UNHAPPIEST	an0 hxp3 phi1 es1
UNHAPPILY	an0 hxp3 pi1 lii2
UNHAPPINESS	an0 hxp3 pi1 nees1
UNHAPPINESSES	an0 hxp3 pi1 nees3 ses1
UNHAPPY	an0 hxp3 pii2
UNHARD	an0 haat3
UNHARDEN	an0 haat3 den2
UNHARDENED	an0 haat3 den2
UNHARDIHOOD	an0 haat3 di1 huut3
UNHARDILY	an0 haat3 di1 lii2
UNHARDINESS	an0 haat3 di1 nees1
UNHARDNESS	an0 haat3 nees1
UNHARDY	an0 haat3 dii2
UNHARMED	an0 haam0
UNHARMFUL	an0 haam0 fuul0
UNHARMFULLY	an0 haam0 fuul0 lii2
UNHARMING	an0 haam0 ming2
UNHARMONIC	an0 haa0 moo0 nik1
UNHARMONICAL	an0 haa0 moo0 ni3 kh@l2
UNHARMONIOUS	an0 haa0 moo0 niias2
UNHARMONIOUSLY	an0 haa0 moo0 niias3 lii2
UNHARMONIOUSNESS	an0 haa0 moo0 niias3 nees1
UNHARMONISE	an0 haa0 mq1 naj3
UNHARMONISED	an0 haa0 mq1 naj3
UNHARMONISES	an0 haa0 mq1 naj3 ses1
UNHARMONIZE	an0 haa0 mq1 naj3
UNHARMONIZED	an0 haa0 mq1 naj3
UNHARMONIZES	an0 haa0 mq1 naj3 ses1
UNHARMONY	an0 haa0 mq1 nii2
UNHARNESS	an0 haa0 nees1
UNHARNESSED	an0 haa0 nees1
UNHARNESSES	an0 haa0 nees3 ses1
UNHARNESSING	an0 haa0 nees3 sing2
UNHAT	an0 hxt3
UNHATCHABILITY	an0 hxch3 chq1 bi1 li3 tii2
UNHATCHABLE	an0 hxch3 chee0 bql2
UNHATCHED	an0 hxch3
UNHATS	an0 hxt3
UNHATTED	an0 hxt3 theet1
UNHEALED	an0 hiil0
UNHEALTH	an0 heel3
UNHEALTHFUL	an0 heel3 fuul0
UNHEALTHFULLY	an0 heel3 fuul0 lii2
UNHEALTHFULNESS	an0 heel3 fuul0 nees1
UNHEALTHIER	an0 heel3 thi1 qq2
UNHEALTHIEST	an0 heel3 thi1 es1
UNHEALTHILY	an0 heel3 thi1 lii2
UNHEALTHINESS	an0 heel3 thi1 nees1
UNHEALTHY	an0 heel3 tii2
UNHEARD	an0 hqqt3
UNHEARING	an0 hiia0 ring2
UNHEATED	an0 hiit3 thet1
UNHEEDED	an0 hiit3 det1
UNHEEDEDLY	an0 hiit3 det1 lii2
UNHEEDFUL	an0 hiit3 fuul0
UNHEEDFULLY	an0 hiit3 fuul0 lii2
UNHEEDFULNESS	an0 hiit3 fuul0 nees1
UNHEEDING	an0 hiit3 ding2
UNHEEDINGLY	an0 hiit3 ding2 lii2
UNHELD	an0 heel0
UNHELM	an0 heem0
UNHELMED	an0 heem0
UNHELMET	an0 heel0 met1
UNHELMETED	an0 heel0 met3 thet1
UNHELPED	an0 heel3
UNHELPFUL	an0 heel3 fuul0
UNHELPFULLY	an0 heel3 fuul0 lii2
UNHELPFULNESS	an0 heel3 fuul0 nees1
UNHELPING	an0 heel3 ping2
UNHERALDED	an0 hee0 rql2 det1
UNHERALDIC	an0 hee0 rql2 dik1
UNHERITABLE	an0 hee0 ri3 thee0 bql2
UNHEROIC	an0 hee0 roo0 ik1
UNHEROICAL	an0 hee0 roo0 i3 kh@l2
UNHEROICALLY	an0 hee0 roo0 i3 khq1 lii2
UNHEROISM	an0 hee0 roo0 is3 svm2
UNHESITANT	an0 hes3 si1 thxxn3
UNHESITATING	an0 hes3 si1 theet3 ting2
UNHESITATINGLY	an0 hes3 si1 theet3 ting2 lii2
UNHINDERABLE	an0 hin0 dqq2 ree0 bql2
UNHINDERABLY	an0 hin0 dqq0 ree0 blii2
UNHINDERED	an0 hin0 dqq2
UNHINDERING	an0 hin0 dqq2 ring2
UNHINGE	an0 hin3
UNHINGED	an0 hin3
UNHINGEMENT	an0 hin3 men3
UNHINGES	an0 hin3 ces1
UNHINGING	an0 hin3 cing2
UNHINTED	an0 hin3 thet1
UNHISSED	an0 his3
UNHISTORIC	an0 his3 th@@0 rik1
UNHISTORICAL	an0 his3 th@@0 ri3 kh@l2
UNHISTORICALLY	an0 his3 th@@0 ri3 khq1 lii2
UNHISTORY	an0 his3 thrii2
UNHISTRIONIC	an0 his3 thri1 @@0 nik1
UNHITCH	an0 hich3
UNHITCHED	an0 hich3
UNHITCHES	an0 hich3 ches1
UNHITCHING	an0 hich3 ching2
UNHOLD	an0 hool0
UNHOLESOME	an0 hool0 sam2
UNHOLIER	an0 hool0 li1 qq2
UNHOLIEST	an0 hool0 li1 es1
UNHOLINESS	an0 hool0 li1 nees1
UNHOLSTER	an0 hool3 sa1 tqq2
UNHOLSTERED	an0 hool3 sa1 tqq2
UNHOLSTERING	an0 hool3 sa1 tqq2 ring2
UNHOLY	an0 hoo0 lii2
UNHOOD	an0 huut3
UNHOODED	an0 huut3 det1
UNHOODWINK	an0 huut3 wing3
UNHOODWINKED	an0 huut3 wing3
UNHOOK	an0 huk3
UNHOOKED	an0 huk3
UNHOOKING	an0 huk3 king2
UNHOOKS	an0 huk3
UNHOPEFUL	an0 hoop3 fuul0
UNHOPEFULLY	an0 hoop3 fuul0 lii2
UNHOPEFULNESS	an0 hoop3 fuul0 nees1
UNHOPING	an0 hoop3 ping2
UNHOPINGLY	an0 hoop3 ping2 lii2
UNHORSE	an0 h@@s3
UNHORSED	an0 h@@s3
UNHORSES	an0 h@@s3 ses1
UNHORSING	an0 h@@s3 sing2
UNHOSPITABLE	an0 h@@s3 pi1 thee0 bql2
UNHOSPITABLENESS	an0 h@@s3 pi1 thee0 bql2 nees1
UNHOSPITABLY	an0 h@@s3 pi1 thee0 blii2
UNHOSTILE	an0 h@@s3 thaaj0
UNHOSTILELY	an0 h@@s3 thaaj0 lii2
UNHOSTILITY	an0 h@@s3 thi1 li3 tii2
UNHOUSE	an0 haaw3
UNHOUSED	an0 haaw3
UNHOUSELED	an0 haaw3 sql2
UNHOUSEWIFELY	an0 haaw3 waj3 lii2
UNHUMAN	an0 hiw0 mxxn2
UNHUMANE	an0 hiw0 men0
UNHUMANITARIAN	an0 hiw0 mxx0 ni3 thxx0 riian2
UNHUMANIZE	an0 hiw0 mxx0 naj3
UNHUMANIZED	an0 hiw0 mxx0 naj3
UNHUMANLY	an0 hiw0 mxxn2 lii2
UNHUMANNESS	an0 hiw0 mxxn2 nees1
UNHUMID	an0 hiw0 mit1
UNHUMILIATED	an0 hiw0 mi1 li1 eet3 thet1
UNHUMORED	an0 hiw0 mqq2
UNHUMOROUS	an0 hiw0 mq1 rqqs2
UNHUMOROUSLY	an0 hiw0 mq1 ras3 lii2
UNHUMOROUSNESS	an0 hiw0 mq1 ras3 nees1
UNHUMOURED	an0 hiw0 mqq2
UNHUMOUREDS	an0 hiw0 mqq2
UNHUNG	an0 hang0
UNHUNGRY	an0 hang0 krii2
UNHURRIED	an0 hqq0 rii2
UNHURRIEDLY	an0 hqq0 riit2 lii2
UNHURRYING	an0 hqq0 rii0 ing2
UNHURRYINGLY	an0 hqq0 rii0 ing2 lii2
UNHURT	an0 hqqt3
UNHURTED	an0 hqqt3 thet1
UNHURTFUL	an0 hqqt3 fuul0
UNHURTFULLY	an0 hqqt3 fuul0 lii2
UNHURTFULNESS	an0 hqqt3 fuul0 nees1
UNHURTING	an0 hqqt3 ting2
UNHYGIENIC	an0 haj0 cii0 nik1
UNHYGIENICALLY	an0 haj0 cii0 ni3 khq1 lii2
UNIAXIAL	juu0 ni1 xk3 siial2
UNICAL	juu0 ni1 kh@l0
UNICAN	juu0 ni1 khxn2
UNICARE	juu0 ni3 khxx0
UNICAS	juu0 ni3 khqs2
UNICATIONS	juu0 ni3 khee0 chan2
UNICATOR	juu0 ni3 khee0 tqq2
UNICEF	juu0 ni1 seef3
UNICENTER	juu0 ni3 sen0 tqq2
UNICENTRAL	juu0 ni3 sen0 thr@l2
UNICENTRE	juu0 ni3 sen0 tqq2
UNICES	juu0 nis3 ses1
UNICET	juu0 nis3 set1
UNICOLOR	juu0 ni3 khal0 lqq2
UNICOLORED	juu0 ni3 khal0 lqq2
UNICON	juu0 ni1 kh@n0
UNICONSTANT	juu0 ni3 kh@n0 sa1 txxn3
UNICOR	juu0 ni3 kh@@0
UNICORD	juu0 ni3 kh@@t1
UNICORN	juu0 ni3 kh@@n0
UNICORNES	juu0 ni3 kh@@n0
UNICORNS	juu0 ni3 kh@@n0
UNICULTURAL	juu0 ni3 khal0 chqq0 r@l2
UNICULTURE	juu0 ni3 khal0 chqq2
UNICULTURISTS	juu0 ni3 khal0 chqq2 ris3
UNICYCLE	juu0 ni3 saj0 khql2
UNICYCLES	juu0 ni3 saj0 khql2
UNIDAS	an0 naj0 daas2
UNIDEAED	an0 naj0 diiat2
UNIDEAL	an0 naj0 diial0
UNIDEALISED	an0 naj0 diial0 laj3
UNIDEALISM	an0 naj0 diial0 lis3 svm2
UNIDEALIST	an0 naj0 diial0 lis3
UNIDEALISTIC	an0 naj0 diial0 lis3 tik1
UNIDEALIZED	an0 naj0 diial0 laj3
UNIDENTATE	an0 naj0 den0 theet1
UNIDENTATED	an0 naj0 den0 theet3 thet1
UNIDENTICAL	an0 naj0 den0 thi1 kh@l2
UNIDENTICULATE	an0 naj0 den0 thi3 khiw0 leet1
UNIDENTIFIABLE	an0 naj0 den0 thi1 faaj0 ee0 bql2
UNIDENTIFIABLENESS	an0 naj0 den0 thi1 faaj0 ee0 bql2 nees1
UNIDENTIFIABLY	an0 naj0 den0 thi1 faaj0 ee0 blii2
UNIDENTIFIED	an0 naj0 den0 thi1 faaj0
UNIDENTIFYING	an0 naj0 den0 thi1 faaj0 ing2
UNIDIOMATIC	an0 ni1 dii0 oo0 mxt3 thik1
UNIDIOMATICALLY	an0 ni1 dii0 ee0 mxt3 thi1 kh@l2 lii2
UNIFARIOUS	juu0 ni3 fxx0 riias2
UNIFIABLE	juu0 ni3 faaj0 ee0 bql2
UNIFIC	juu0 ni3 fik1
UNIFICADA	juu0 ni1 fi3 khaa0 daa2
UNIFICADO	juu0 ni1 fi3 khaa0 doo2
UNIFICATION	juu0 ni1 fi3 khee0 chan2
UNIFICATIONISM	juu0 ni1 fi3 khee0 chan2 nis3 svm2
UNIFICATIONIST	juu0 ni1 fi3 khee0 chan2 nis3
UNIFICATIONISTS	juu0 ni1 fi3 khee0 chan2 nis3
UNIFICATIONS	juu0 ni1 fi3 khee0 chan2
UNIFICATOR	juu0 ni1 fi3 khee0 tqq2
UNIFICATORY	juu0 ni1 fi3 khq1 thq1 rii2
UNIFIED	juu0 ni3 faaj0
UNIFIER	juu0 ni3 faaj0 qq2
UNIFIERS	juu0 ni3 faaj0 qq2
UNIFIES	juu0 ni3 faaj0
UNIFORM	juu0 ni3 f@@m0
UNIFORMAL	juu0 ni3 f@@0 m@l2
UNIFORMALIZATION	juu0 ni3 f@@0 m@l2 laj3 see0 chan2
UNIFORMALIZE	juu0 ni3 f@@0 m@l2 laj3
UNIFORMALLY	juu0 ni3 f@@0 m@l2 lii2
UNIFORMATION	juu0 ni3 f@@0 mee0 chan2
UNIFORMATIVE	juu0 ni3 f@@0 mee0 thiif1
UNIFORMATIVENESS	juu0 ni3 f@@0 mee0 thiif1 nees1
UNIFORME	juu0 ni3 f@@m0
UNIFORMED	juu0 ni3 f@@m0
UNIFORMER	juu0 ni3 f@@0 mqq2
UNIFORMES	juu0 ni3 f@@m0
UNIFORMEST	juu0 ni3 f@@m0 mes1
UNIFORMILY	juu0 ni3 f@@0 mi1 lii2
UNIFORMING	juu0 ni3 f@@m0 ming2
UNIFORMIS	juu0 ni3 f@@0 mis3
UNIFORMISES	juu0 ni3 f@@0 mis3 ses1
UNIFORMIST	juu0 ni3 f@@0 mis3
UNIFORMITIES	juu0 ni3 f@@0 mi3 tii2
UNIFORMITY	juu0 ni3 f@@0 mi3 tii2
UNIFORMLESS	juu0 ni3 f@@m0 lees1
UNIFORMLY	juu0 ni3 f@@m0 lii2
UNIFORMNESS	juu0 ni3 f@@m0 nees1
UNIFORMS	juu0 ni3 f@@m0
UNIFY	juu0 ni1 faaj0
UNIFYING	juu0 ni3 faaj0 ing2
UNILATERAL	juu0 ni1 lxt3 thq1 r@l2
UNILATERALIS	juu0 ni1 lxt3 thq1 r@l2 lis3
UNILATERALISATION	juu0 ni1 lxt3 thq1 r@l2 laj3 see0 chan2
UNILATERALISES	juu0 ni1 lxt3 thq1 r@l2 laj3 ses1
UNILATERALISM	juu0 ni1 lxt3 thq1 r@l2 lis3 svm2
UNILATERALIST	juu0 ni1 lxt3 thq1 r@l2 lis3
UNILATERALISTS	juu0 ni1 lxt3 thq1 r@l2 lis3
UNILATERALITY	juu0 ni1 lxt3 thqq0 r@l2 li3 tii2
UNILATERALIZATION	juu0 ni1 lxt3 thq1 r@l2 laj3 see0 chan2
UNILATERALIZE	juu0 ni1 lxt3 thq1 r@l2 laj3
UNILATERALIZES	juu0 ni1 lxt3 thq1 r@l2 laj3 ses1
UNILATERALLY	juu0 ni1 lxt3 thq1 r@l2 lii2
UNILATERALS	juu0 ni1 lxt3 r@l2
UNILINEAL	juu0 ni3 li1 niial2
UNILINEAR	juu0 ni3 li1 niia1
UNILITERAL	juu0 ni1 lit3 thq1 r@l2
UNIMAC	an0 ni3 mxk1
UNIMACULAR	an0 ni1 mxk3 khiw0 laa2
UNIMAGINABLE	an0 ni1 mxx0 ci1 nee0 bql2
UNIMAGINABLENESS	an0 ni1 mxx0 ci1 nee0 bql2 nees1
UNIMAGINABLY	an0 ni1 mxx0 ci1 nee0 blii2
UNIMAGINARY	an0 ni1 mxx0 ci1 naa0 rii2
UNIMAGINATIVE	an0 ni1 mxx0 ci1 nee0 thiif1
UNIMAGINATIVELY	an0 ni1 mxx0 ci1 nee0 thiif1 lii2
UNIMAGINATIVENESS	an0 ni1 mxx0 ci1 nee0 thiif1 nees1
UNIMAGINE	an0 ni1 mxx0 cin2
UNIMAGINED	an0 ni1 mxx0 cin2
UNIMATE	an0 ni1 meet1
UNIMATES	an0 ni1 meet1
UNIMATION	an0 ni1 mee0 chan2
UNIMED	an0 nim0
UNIMITABLE	an0 ni1 mi3 thee0 bql2
UNIMITABLENESS	an0 ni1 mi3 thee0 bql2 nees1
UNIMITABLY	an0 ni1 mi3 thee0 blii2
UNIMPAIR	an0 nim0 phxx0
UNIMPAIRABLE	an0 nim0 phxx0 ree0 bql2
UNIMPAIRED	an0 nim0 phxxt2
UNIMPARTED	an0 nim0 phaat3 thet1
UNIMPARTIAL	an0 nim0 phaach3 chiial2
UNIMPASSIONATE	an0 nim0 phxxch3 chan2 neet1
UNIMPASSIONED	an0 nim0 phxxch3 chan2
UNIMPATIENT	an0 nim0 phee3 chiian2
UNIMPEACHABILITY	an0 nim0 phiich3 chq1 bi1 li3 tii2
UNIMPEACHABLE	an0 nim0 phiich3 chee0 bql2
UNIMPEACHABLENESS	an0 nim0 phiich3 chee0 bql2 nees1
UNIMPEACHABLY	an0 nim0 phiich3 chee0 blii2
UNIMPEACHED	an0 nim0 phiich3
UNIMPED	an0 nim3
UNIMPEDED	an0 nim0 phiit3 det1
UNIMPEDEDLY	an0 nim0 piit3 det1 lii2
UNIMPEDIBLE	an0 nim0 pheet3 di1 bql2
UNIMPELLED	an0 nim0 pheel0
UNIMPENETRABLE	an0 nim0 phee0 ni3 three0 bql2
UNIMPERATIVE	an0 nim0 phee0 rq1 thiif1
UNIMPERIAL	an0 nim0 phii0 riial2
UNIMPERIALISTIC	an0 nim0 phii0 riial0 lis3 tik1
UNIMPERIOUS	an0 nim0 phii0 riias2
UNIMPERTINENT	an0 nim0 phqq0 thi1 nen3
UNIMPINGING	an0 nim0 phin0 cing2
UNIMPLANTED	an0 nim0 phlaan3 thet1
UNIMPLEMENTABLE	an0 nim0 phlii0 men3 thee0 bql2
UNIMPLEMENTED	an0 nim0 phlii0 men3 thet1
UNIMPLICABLE	an0 nim0 phli3 khee0 bql2
UNIMPLICATE	an0 nim0 phli1 kheet1
UNIMPLICATED	an0 nim0 phli1 kheet3 thet1
UNIMPLICIT	an0 nim0 phli1 sit1
UNIMPLICITLY	an0 nim0 phli1 sit3 lii2
UNIMPLIED	an0 nim0 phlaaj0
UNIMPLORABLE	an0 nim0 phl@@0 ree0 bql2
UNIMPLORED	an0 nim0 phl@@t2
UNIMPORTANCE	an0 nim0 ph@@t3 thxxn3
UNIMPORTANT	an0 nim0 ph@@t3 thxxn2
UNIMPORTANT	an0 nim0 ph@@t3 thxxn2
UNIMPORTANTLY	an0 nim0 ph@@t3 thxxn2 lii2
UNIMPORTED	an0 nim0 ph@@t3 thet1
UNIMPORTING	an0 nim0 ph@@t3 ting2
UNIMPORTUNATE	an0 nim0 ph@@0 chuu0 neet1
UNIMPORTUNATELY	an0 nim0 ph@@0 chuu0 neet1 lii2
UNIMPORTUNED	an0 nim0 ph@@0 thuun0
UNIMPOSED	an0 nim0 phoos3
UNIMPOSEDLY	an0 nim0 phoos3 set1 lii2
UNIMPOSING	an0 nim0 phoos3 sing2
UNIMPOUNDED	an0 nim0 phaaw0 det1
UNIMPOVERISHED	an0 nim0 ph@f3 chqq0 rich3
UNIMPOWERED	an0 nim0 phaaw0 wqq2
UNIMPRECATED	an0 nim0 phri1 kheet3 thet1
UNIMPREGNABLE	an0 nim0 phrek3 nee0 bql2
UNIMPREGNATE	an0 nim0 phrek3 neet1
UNIMPREGNATED	an0 nim0 phrek3 neet3 thet1
UNIMPRESSED	an0 nim0 phrees3
UNIMPRESSIBILITY	an0 nim0 phrees3 si1 bi1 li3 tii2
UNIMPRESSIBLE	an0 nim0 phrees3 si1 bql2
UNIMPRESSIBLENESS	an0 nim0 phrees3 si3 bql2 nees1
UNIMPRESSIBLY	an0 nim0 phrees3 si1 blii2
UNIMPRESSIONABILITY	an0 nim0 phreech3 chan2 nq1 bi1 li3 tii2
UNIMPRESSIONABLE	an0 nim0 phreech3 chan2 nee0 bql2
UNIMPRESSIVE	an0 nim0 phrees3 siif1
UNIMPRESSIVELY	an0 nim0 phrees3 siif1 lii2
UNIMPRESSIVENESS	an0 nim0 phrees3 siif1 nees1
UNIMPRINTED	an0 nim0 phrin3 thet1
UNIMPRISON	an0 nim0 phri3 san2
UNIMPRISONED	an0 nim0 phri3 san2
UNIMPROPRIATED	an0 nim0 phr@@0 phri1 eet3 thet1
UNIMPROVABLE	an0 nim0 phruuf3 wee0 bql2
UNIMPROVABLENESS	an0 nim0 phruuf3 wee0 bql2 nees1
UNIMPROVABLY	an0 nim0 phruuf3 wee0 blii2
UNIMPROVED	an0 nim0 phruuf3
UNIMPROVEMENT	an0 nim0 phruuf3 men3
UNIMPROVING	an0 nim0 phruuf3 wing2
UNIMPROVISED	an0 nim0 phroo0 waaj3
UNIMPUGNED	an0 nim0 phiw3
UNIMPULSIVE	an0 nim0 phal3 siif1
UNIMPURPLED	an0 nim0 phqq0 phql2
UNIMPUTABLE	an0 nim0 phiw3 thee0 bql2
UNIMPUTED	an0 nim0 phiw3 thet1
UNINCARCERATED	an0 nin0 khaas3 sa1 reet3 thet1
UNINCARNATE	an0 nin0 khaa0 neet1
UNINCARNATED	an0 nin0 khaa0 neet3 thet1
UNINCHOATIVE	an0 nin0 khoo0 q1 thiif1
UNINCLINABLE	an0 nin0 khlaaj0 nee0 bql2
UNINCLINED	an0 nin0 khlaaj0
UNINCLINING	an0 nin0 khlaaj0 ning2
UNINCLOSED	an0 nin0 khloos3
UNINCLUDED	an0 nin0 khluut3 det1
UNINCLUSIVE	an0 nin0 khluu0 siif1
UNINCLUSIVENESS	an0 nin0 khluu0 siif1 nees1
UNINCONVENIENCED	an0 nin0 kh@n0 wii0 niian2
UNINCORPORATE	an0 nin0 kh@@0 phq1 reet1
UNINCORPORATED	an0 nin0 kh@@0 phq1 reet3 thet1
UNINCORPORATEDLY	an0 nin0 kh@@0 phq1 reet3 thet1 lii2
UNINCORPORATEDNESS	an0 nin0 kh@@0 phq1 reet3 thet1 nees1
UNINCORPORTED	an0 nin0 kh@@0 ph@@t3 theet1
UNINCREASED	an0 nin0 khriis3
UNINCREASING	an0 nin0 khriis3 sing2
UNINCUBATED	an0 nin0 khiw0 beet3 thet1
UNINCULCATED	an0 nin0 khal0 kheet3 thet1
UNINCUMBERED	an0 nin0 kham0 bqq2
UNINDEBTED	an0 nin0 det3 thet1
UNINDEBTEDLY	an0 nin0 det3 thet1 lii2
UNINDEBTEDNESS	an0 nin0 det3 thet1 nees1
UNINDEMNIFIED	an0 nin0 dem0 ni3 faaj0
UNINDENTED	an0 nin0 den3 thet1
