DA	daa0
DICHOTOMISING	daaj3 kh@t3 th@m2 mis3 sing2
DICHOTOMIST	daaj3 kh@t3 th@m2 mis3
DICHOTOMISTIC	daaj3 kh@t3 th@m2 mis3 tik1
DICHOTOMIZATION	daaj3 kh@t3 th@m2 maaj3 see0 chan0
DICHOTOMIZE	daaj3 kh@t3 th@m2 maaj3
DICHOTOMIZED	daaj3 kh@t3 th@m2 maaj3
DICHOTOMIZING	daaj3 kh@t3 th@m2 maaj3 sing2
DICHOTOMOUS	daaj3 kh@t3 th@m2 mqs3
DICHOTOMOUSLY	daaj3 kh@t3 th@m2 mqs3 lii2
DICHOTOMOUSNESS	daaj3 kh@t3 th@m2 mqs3 nees1
DICHOTOMY	daaj3 kh@t3 th@m2 mii2
DICIEST	daaj3 siias2
DICILY	daaj3 si1 lii2
DICING	daaj3 sing2
DICK	dik3
DICKED	dik3 khit1
DICKELL	dik3 kheel0
DICKELMAN	dik3 kheel0 mxxn0
DICKEN	dik3 khin2
DICKENSES	dik3 khin0 ses1
DICKENSHEETS	dik3 khin0 chiit3
DICKENSIAN	dik3 khin0 siian2
DICKENSON	dik3 khin0 san2
DICKER	dik3 khqq2
DICKERED	dik3 khqq0 rit1
DICKERING	dik3 khqq0 ring2
DICKERMAN	dik3 khqq0 mxxn0
DICKERMANN	dik3 khqq0 mxxn0
DICKERS	dik3 khqs2
DICKERSON	dik3 khqq0 san2
DICKERSONS	dik3 khqq0 san2
DICKERY	dik3 khqq0 rii2
DICKES	dik3 khes1
DICKEY	dik3 khii2
DICKEYS	dik3 khis2
DICKHART	dik3 khaat3
DICKHEAD	dik3 kheet3
DICKHEADS	dik3 kheet3
DICKIES	dik3 khis2
DICKIN	dik3 khin2
DICKING	dik3 khing2
DICKINS	dik3 khin2
DICKINSON	dik3 khin0 san2
DICKINSONIA	dik3 khin0 soo0 niia0
DICKINSONIAN	dik3 khin0 soo0 niian2
DICKINSONS	dik3 khin0 san2
DICKISH	dik3 khich3
DICKLE	dik3 khql2
DICKLER	dik3 khlqq2
DICKLESS	dik3 khles1
DICKMAN	dik3 mxxn0
DICKMANN	dik3 maan0
DICKS	dik3
DICKSEN	dik3 sen2
DICKSENSON	dik3 sen0 san2
DICKSON	dik3 san2
DICKSONS	dik3 san2
DICKSTEIN	dik3 thaaj0
DICKY	dik3 kii2
DICKYBIRD	dik3 kii2 bqqt1
DICKYBIRDS	dik3 kii2 bqqt1
DICOT	daaj3 kh@t1
DICOTS	daaj3 kh@t1
DICOTYLEDON	daaj3 kh@t3 thil0 lii0 dqn2
DICOTYLEDONES	daaj3 kh@t3 thil0 lii0 dqn2 nees1
DICOTYLEDONOUS	daaj3 kh@t3 thil0 lii0 dql0 nees1
DICOTYLEDONS	daaj3 kh@t3 thil0 lii0 dqn2
DICTA	dik3 taa2
DICTABLE	dik3 thi1 bql2
DICTACTOR	dik3 thek3 thqq2
DICTAPHONE	dik3 thqq0 foon0
DICTAPHONES	dik3 thqq0 foon0
DICTATE	dik3 theet1
DICTATED	dik3 thee3 thet1
DICTATER	dik3 thee3 thqq2
DICTATES	dik3 thee3 thes1
DICTATING	dik3 thee3 ting2
DICTATINGLY	dik3 thee3 ting2 lii2
DICTATION	dik3 thqq0 chan0
DICTATIONAL	dik3 thqq0 chan0 nal0
DICTATIONS	dik3 thqq0 chan0
DICTATOR	dik3 thee3 thqq2
DICTATORIAL	dik3 thee3 thql0 riial0
DICTATORIALISM	dik3 thee3 thql0 riial0 lis3 svm2
DICTATORIALIZATION	dik3 thee3 thql0 riial0 laj3 see0 chan0
DICTATORIALLY	dik3 thee3 thql0 riial0 lii2
DICTATORIALNESS	dik3 thee3 thql0 riial0 nees1
DICTATORS	dik3 thee3 tqq2
DICTATORSHIP	dik3 thee3 thql0 chip3
DICTATORSHIPS	dik3 thee3 thql0 chip3
DICTATORY	dik3 thee3 thql0 rii2
DICTATRESS	dik3 thee3 thres3
DICTATRIX	dik3 thee3 thrik1
DICTATUS	dik3 thee3 tqq2
DICTION	dik3 chan0
DICTIONAL	dik3 chan0 nal0
DICTIONALIST	dik3 chan0 nal0 lis3
DICTIONALLY	dik3 chan0 nal0 lii2
DICTIONARIES	dik3 chan0 nql0 ris1
DICTIONARY	dik3 chan0 nql0 rii2
DICTIONED	dik3 chan0 nit1
DICTIONS	dik3 chan0
DICTOGRAPH	dik3 tql0 kraaf3 
DICTOR	dik3 tqq2
DICTORIAL	dik3 thql0 riial0
DICTORSHIP	dik3 thql0 chip3
DICTORSHIPS	dik3 thql0 chip3
DICTORY	dik3 thql0 rii2
DICTUM	dik3 th@m2
DICTUMS	dik3 th@m2
DICTUS	dik3 tqq2
DICUS	di1 khqs3
DICUSSING	di1 khqs3 sing2
DID	dit3
DIDACT	daaj0 dxk3
DIDACTIC	daaj0 dxk3 tik1
DIDACTICAL	daaj0 dxk3 ti1 khql2
DIDACTICALITY	daaj0 dxk3 ti1 kh@l0 li3 tii2
DIDACTICALLY	daaj0 dxk3 ti1 khql2 lii2
DIDACTICIAN	daaj0 dxk3 ti1 ciian2
DIDACTICISM	daaj0 dxk3 ti1 sis3 svm2
DIDACTICS	daaj0 dxk3 tik1
DIDACTIVE	daaj0 dxk3 thiif1
DIDACTS	daaj0 dxk3
DIDACTYL	daaj0 dxk3 til0
DIDAPPER	daaj0 dxp3 phrqq2
DIDCOT	dit3 kqt1
DIDDLE	dit3 dql2
DIDDLED	dit3 dql0 lit1
DIDDLER	dit3 dql0 lqq2
DIDDLERS	dit3 dql0 lqs2
DIDDLES	dit3 dql2
DIDDLEY	dit3 dql0 lee2
DIDDLING	dit3 dql0 ling2
DIDDLY	dit3 dql2 lii2
DIDDLYWINK	dit3 dql0 lii2 wing3
DIDION	dit3 daaj0 @@n2
DIDNAE	dit3 nee2
DIDOES	di1 doos2
DIDOS	di1 doos2
DIE	daaj0
DIEBACK	daaj0 bxk3
DIEBACKS	daaj0 bxk3
DIEBEL	daaj0 beel0
DIEBEN	daaj0 been0
DIEBOLD	daaj0 bool0
DIEBOLT	daaj0 bool0
DIED	daaj0
DIEDER	daaj0 dqq2
DIEDRIC	daaj0 drik1
DIEDRICH	daaj0 drich3
DIEDRICHS	daaj0 drich3 ches1
DIEDRICHSEN	daaj0 drich3 sen2
DIEDRICK	daaj0 drik1
DIEGEL	daaj0 ceel0
DIEGELMAN	daaj0 ceel0 mxxn0
DIEGELMANN	daaj0 ceel0 maan0
DIEGO	dii0 ee0 koo2
DIEGOS	dii0 ee0 koos3
DIEHARD	daaj0 haat3
DIEHARDS	daaj0 haat3
DIEING	daaj0 ing2
DIELECTRIC	daaj0 lek3 thrik1
DIELECTRICALLY	daaj0 lek3 thri3 khql2 lii2
DIELECTRICS	daaj0 lek3 thrik1
DIELECTRONIC	daaj0 lek3 thr@@n0 nik1
DIEMAKER	daaj0 meek3 kqq2
DIEMAKERS	daaj0 meek3 kqs2
DIERESES	daaj0 ee0 ras3 sii2
DIERESIS	daaj0 ee0 ras3 sis1
DIERINGER	daaj0 ee0 ring2 ngqq2
DIES	daaj0
DIESEL	dii0 sql2
DIESELING	dii0 sa1 ling2
DIESELS	dii0 sql2
DIESES	daaj0 sii2
DIESING	daaj0 sing2
DIESINGER	daaj0 sing2 ngqq2
DIESINKER	daaj0 sing2 kqq2
DIESINKING	daaj0 sing2 king2
DIESIS	daaj0 sis1
DIESTOCK	daaj0 sa1 t@k3
DIESTOCKS	daaj0 sa1 t@k3
DIET	daaj0 qt1
DIETARIES	daaj0 ql0 thxx0 rii2
DIETARY	daaj0 ql0 thql0 rii2
DIETED	daaj0 ql0 thet1
DIETEL	daaj0 ql0 theel0
DIETER	daaj0 ql0 thqq2
DIETERING	daaj0 ql0 thql0 ring2
DIETERS	daaj0 ql0 tqq2
DIETES	daaj0 ql0 thes1
DIETETIC	daaj0 ql0 thet3 tik1
DIETETICAL	daaj0 ql0 thet3 thi1 khql2
DIETETICALLY	daaj0 ql0 thet3 thi1 khql2 lii2
DIETETICS	daaj0 ql0 thet3 tik1
DIETICIAN	daaj0 ql0 thi3 chan0
DIETICIANS	daaj0 ql0 thi3 chan0
DIETIES	daaj0 ql0 thaj3
DIETING	daaj0 ql0 thing2
DIETIST	daaj0 ql0 this2
DIETITIAN	daaj0 ql0 thi1 chan0
DIETITIANS	daaj0 ql0 thi1 chan0
DIETITICIAN	daaj0 ql0 thi1 chan0
DIETITION	daaj0 ql0 thi1 chan0
DIETRIC	daaj0 ql0 trik1
DIETRICH	daaj0 ql0 trich3
DIETRICHS	daaj0 ql0 trich3 ches1
DIETRICHSEN	daaj0 ql0 trich3 sen2
DIETRICK	daaj0 ql0 thrik1
DIETS	daaj0 qt1
DIETZEN	daaj0 qt1 sen2
DIFERANCE	dif3 fql0 ren3
DIFERENCES	dif3 fql0 ren3 ses1
DIFERENT	dif3 fql0 ren3
DIFERENTES	dif3 fql0 ren3
DIFFER	dif3 fqq2
DIFFERED	dif3 fql0 rit1
DIFFERENCE	dif3 fql0 reen3
DIFFERENCED	dif3 fql0 reen3
DIFFERENCES	dif3 fql0 reen3 ses1
DIFFERENCING	dif3 fql0 reen3 sing2
DIFFERENCINGLY	dif3 fql0 reen3 sing2 lii2
DIFFERENEES	dif3 fql0 reen3 niis3
DIFFERENT	dif3 fql0 reen3
DIFFERENTES	dif3 fql0 reen3
DIFFERENTEST	dif3 fql0 reen3 thes3
DIFFERENTIA	dif3 fql0 reen3 chiia0
DIFFERENTIAL	dif3 fql0 reen3 chql2
DIFFERENTIALISES	dif3 fql0 reen3 chql0 lis3 ses1
DIFFERENTIALLY	dif3 fql0 reen3 chql2 lii2
DIFFERENTIALS	dif3 fql0 reen3 chql2
DIFFERENTIATE	dif3 fql0 reen3 chi1 eet1
DIFFERENTIATED	dif3 fql0 reen3 chi1 eet3 thet1
DIFFERENTIATES	dif3 fql0 reen3 chi1 eet1
DIFFERENTIATING	dif3 fql0 reen3 chi1 eet3 ting2
DIFFERENTIATION	dif3 fql0 reen3 chi3 ee0 chan0
DIFFERENTIATIONS	dif3 fql0 reen3 chi3 ee0 chan0
DIFFERENTIATOR	dif3 fql0 reen3 chi1 ee0 thqq2
DIFFERENTIATORS	dif3 fql0 reen3 chi1 ee0 tqq2
DIFFERENTION	dif3 fql0 reen3 chan0
DIFFERENTLY	dif3 fql0 ren3 lii2
DIFFERENTS	dif3 fql0 ren3
DIFFERER	dif3 fql0 rqq2
DIFFERERS	dif3 fql0 rqqs2
DIFFERES	dif3 fql0 res1
DIFFERING	dif3 fql0 ring2
DIFFERINGLY	dif3 fql0 ring2 lii2
DIFFERS	dif3 fqs2
DIFFICILE	dif3 fis3 siil0
DIFFICILES	dif3 fis3 siil0
DIFFICULT	dif3 fik3 k@l3
DIFFICULTES	dif3 fik3 k@l3 thes1
DIFFICULTIES	dif3 fik3 khql0 thii2
DIFFICULTING	dif3 fik3 khql0 thing2
DIFFICULTY	dif3 fik3 khql0 thii2
DIFFICUT	dif3 fik3 kqt1
DIFFIDATION	dif3 fi1 dee0 chan0
DIFFIDENCE	dif3 fi1 dqn2
DIFFIDENT	dif3 fi1 den3
DIFFIDENTLY	dif3 fi1 den3 lii2
DIFFIDENZA	dif3 fi1 deen0 sqq2
DIFFIN	dif3 fin2
DIFFINITY	dif3 fin2 ni3 tii2
DIFFRACT	dif3 frxk3
DIFFRACTED	dif3 frxk3 thet1
DIFFRACTING	dif3 frxk3 ting2
DIFFRACTION	dif3 frxk3 chan0
DIFFRACTIONAL	dif3 frxk3 chan0 nal0
DIFFRACTIONS	dif3 frxk3 chan0
DIFFRACTIVE	dif3 frxk3 thiif1
DIFFRACTIVELY	dif3 frxk3 thiif1 lii2
DIFFRACTIVENESS	dif3 frxk3 thiif1 nees1
DIFFRACTOMETER	dif3 frxk3 th@@m0 mi3 tqq2
DIFFRACTOMETERS	dif3 frxk3 th@@m0 mi3 tqq2
DIFFRACTOR	dif3 frxk3 tqq2
DIFFRACTS	dif3 frxk3
DIFFRANGIBILITY	dif3 frxxn0 ci1 bi1 li3 tii2
DIFFRANGIBLE	dif3 frxxn0 ci1 bql2
DIFFUSE	dif3 fiw3
DIFFUSED	dif3 fiw3 sit1
DIFFUSEDLY	dif3 fiw3 sit1 lii2
DIFFUSELY	dif3 fiw3 lii2
DIFFUSENESS	dif3 fiw3 sqn1 nees1
DIFFUSER	dif3 fiw3 sqq2
DIFFUSERS	dif3 fiw3 sqqs2
DIFFUSES	dif3 fiw3 ses1
DIFFUSIBILITY	dif3 fiw3 bi1 li3 tii2
DIFFUSIBLE	dif3 fiw3 si1 bql2
DIFFUSIBLENESS	dif3 fiw3 si1 bql2 nees1
DIFFUSIBLY	dif3 fiw3 blii2
DIFFUSING	dif3 fiw3 sing2
DIFFUSION	dif3 fiw3 chan0
DIFFUSIONISM	dif3 fiw3 chan0 nis3 svm2
DIFFUSIONS	dif3 fiw3 chan0
DIFFUSIVE	dif3 fiw3 siif1
DIFFUSIVELY	dif3 fiw3 siif1 lii2
DIFFUSIVENESS	dif3 fiw3 siif1 nees1
DIFFUSIVITIES	dif3 fiw3 si1 wi3 tii2
DIFFUSIVITY	dif3 fiw3 si1 wi3 tii2
DIG	dik3
DIGAMMA	dii0 kxx0 maa2
DIGAMY	dii0 keem0 mii2
DIGATE	dii0 ket1
DIGEST	daaj0 ces1
DIGESTA	daaj0 ces1 sa1 thaa2
DIGESTABLE	daaj0 ces1 sa1 thi1 bql2
DIGESTANT	daaj0 ces1 sa1 thxxn0
DIGESTANTS	daaj0 ces1 sa1 thxxn0
DIGESTED	daaj0 ces1 sa1 thet1
DIGESTEDLY	daaj0 ces1 sa1 thet1 lii2
DIGESTEDNESS	daaj0 ces1 sa1 thit2 nees1
DIGESTER	daaj0 ces1 sa1 thqq2
DIGESTERS	daaj0 ces1 sa1 tqq2
DIGESTIBILITY	daaj0 ces1 sa1 thql0 bi1 li3 tii2
DIGESTIBLE	daaj0 ces1 sa1 thi1 bql2
DIGESTIBLENESS	daaj0 ces1 sa1 thi1 bql2 nees1
DIGESTIBLY	daaj0 ces1 sa1 thi1 blii2
DIGESTIF	daaj0 ces1 sa1 thiif1
DIGESTIFS	daaj0 ces1 sa1 thiif1
DIGESTING	daaj0 ces1 sa1 thing2
DIGESTION	daaj0 ces3 chan0
DIGESTIONS	daaj0 ces3 chan0
DIGESTIVE	daaj0 ces3 thiif1
DIGESTIVELY	daaj0 ces3 thiif1 lii2
DIGESTIVENESS	daaj0 ces3 thiif1 nees1
DIGESTIVES	daaj0 ces3 thiif1
DIGESTMENT	daaj0 ces3 thiif1 men3
DIGESTON	daaj0 ces3 thqn2
DIGESTOR	daaj0 ces3 thqq2
DIGESTORS	daaj0 ces3 tqq2
DIGESTS	daaj0 ces1
DIGGER	dik3 kqq2
DIGGERS	dik3 kqs2
DIGGERY	dik3 kql0 rii2
DIGGIN	dik3 kin2
DIGGING	dik3 king2
DIGGINGS	dik3 king2
DIGGINS	dik3 king2
DIGHT	daaj3
DIGHTED	daaj3 thet1
DIGHTS	daaj3
DIGICON	dii0 ci1 kh@@n2
DIGIT	dii0 cit1
DIGITAL	dii0 ci1 thql2
DIGITALE	dii0 ci1 theel0
DIGITALIN	dii0 ci1 theel0 lin2
DIGITALIS	dii0 ci1 theel0 lis3
DIGITALISED	dii0 ci1 theel0 lis3
DIGITALISES	dii0 ci1 theel0 lis3 ses1
DIGITALISING	dii0 ci1 theel0 lis3 sing2
DIGITALLY	dii0 ci1 thql2 lii2
DIGITALS	dii0 ci1 thql2
DIGITATE	dii0 ci1 theet1
DIGITATED	dii0 ci1 theet3 thet1
DIGITATION	dii0 ci1 thqq0 chan0
DIGITS	dii0 cit1
DIGLOTS	dii0 kl@t3
DIGMAN	dik3 mxxn0
DIGNATORIES	dik3 nee0 th@@0 ris1
DIGNATORY	dik3 nee0 th@@0 rii2
DIGNIFICATION	dik3 ni3 fik1khee0 chan0
DIGNIFIED	dik3 ni3 faaj3
DIGNIFIES	dik3 ni3 faaj0 es1
DIGNIFY	dik3 ni3 faaj0
DIGNIFYING	dik3 ni3 faaj0 ing2
DIGNITARIAL	dik3 ni3 thxx0 riial0
DIGNITARIAN	dik3 ni3 thxx0 riian2
DIGNITARIES	dik3 ni3 thql0 ris1
DIGNITARY	dik3 ni3 thql0 rii2
DIGNITATE	dik3 ni3 theet1
DIGNITE	dik3 naj3
DIGNITIES	dik3 ni3 tii2
DIGNITY	dik3 ni3 tii2
DIGNON	dik3 n@@n2
DIGNUM	dik3 nam2
DIGRAPH	daaj3 kraaf3 
DIGRAPHS	daaj3 kraaf3 
DIGREGORIO	daaj3 kree0 khoo0 rii0 oo2
DIGRESS	daaj3 kres3
DIGRESSED	daaj3 kres3
DIGRESSES	daaj3 kres3 ses1
DIGRESSING	daaj3 kres3 sing2
DIGRESSINGLY	daaj3 kres3 sing2 lii2
DIGRESSION	daaj3 kres3 chan0
DIGRESSIONAL	daaj3 kres3 chan0 nal0
DIGRESSIONARY	daaj3 kres3 chan0 naa0 rii2
DIGRESSIONS	daaj3 kres3 chan0
DIGRESSIVE	daaj3 kres3 siif1
DIGRESSIVELY	daaj3 kres3 siif1 lii2
DIGRESSIVENESS	daaj3 kres3 siif1 nees1
DIGRESSORY	daaj3 kres3 rii2
DIGS	dik3
DIKE	daaj3
DIKED	daaj3 kit1
DIKEMAN	daaj3 mxxn0
DIKER	daaj3 kqq2
DIKERS	daaj3 kqs2
DIKES	daaj3 kes1
DIKING	daaj3 king2
DILAPIDATE	dil0 lxp3 phi1 deet1
DILAPIDATED	dil0 lxp3 phi1 deet3 thet1
DILAPIDATES	dil0 lxp3 phi1 deet1
DILAPIDATING	dil0 lxp3 phi1 deet1 ting2
DILAPIDATION	dil0 lxp3 phi1 dee0 chan0
DILAPIDATIONS	dil0 lxp3 phi1 dee0 chan0
DILAPIDATOR	dil0 lxp3 phi1 deet1 tqq2
DILAPITATED	dil0 lxp3 phi1 theet3 thet1
DILATABILITY	daaj0 lee0 thql0 bi1 li3 tii2
DILATABLE	daaj0 lee0 thi1 bql2
DILATABLENESS	daaj0 lee0 thi1 bql2 nees1
DILATABLY	daaj0 lee0 thql0 blii2
DILATANCY	daaj0 lee0 then0 sii2
DILATANT	daaj0 lee0 thqn2
DILATANTES	daaj0 lee0 thqn2 tes1
DILATANTS	daaj0 lee0 thqn2
DILATATION	daaj0 lee0 thqq0 chan0
DILATATIONAL	daaj0 lee0 thqq0 chan0 nal0
DILATATIONS	daaj0 lee0 thqq0 chan0
DILATE	daaj0 leet1
DILATED	daaj0 lee0 thet1
DILATEDLY	daaj0 lee0 thet1 lii2
DILATEDNESS	daaj0 lee0 thet1 nees1
DILATER	daaj0 lee0 thqq2
DILATERS	daaj0 lee0 tqq2
DILATES	daaj0 leet1
DILATING	daaj0 leet3 ting2
DILATINGLY	daaj0 leet3 ting2 lii2
DILATION	daaj0 lee0 chan0
DILATIONS	daaj0 lee0 chan0
DILATORILY	dil0 lqt3 thql0 ril0 lii2
DILATORINESS	dil0 lqt3 thql0 rin2 nees1
DILATORY	dil0 lqt3 thql0 rii2
DILECTION	dil0 lek3 chan0
DILECTUS	dil0 lek3 tqq2
DILEMMA	dil0 leem0 maa2
DILEMMAS	dil0 leem0 maas2
DILETTANTE	dil0 li3 thxxn0 thii2
DILETTANTES	dil0 li3 thxxn0 thii2
DILETTANTI	dil0 li3 thxxn0 thii2
DILETTANTISH	dil0 li3 thxxn0 thich1
DILETTANTISM	dil0 li3 thxxn0 this3 svm2
DILETTANTIST	dil0 li3 thxxn0 this3
DILIGENCE	dil0 li3 cqn2
DILIGENCES	dil0 li3 cqn1 ses1
DILIGENCY	dil0 li3 cqn1 sii2
DILIGENT	dil0 li3 cen3
DILIGENTLY	dil0 li3 cqn0 thql2 lii2
DILIP	dil0 lip3
DILL	dil0
DILLAS	dil0 lqs2
DILLED	dil0 lit1
DILLER	dil0 lqq2
DILLERS	dil0 lqs2
DILLES	dil0 lqn2
DILLIN	dil0 lin2
DILLINER	dil0 lin0 nqq2
DILLING	dil0 ling2
DILLINGEN	dil0 ling0 ngqn2
DILLINGER	dil0 ling0 kqq2
DILLINGERS	dil0 ling0 kqq2
DILLINGHAM	dil0 ling0 h@m2
DILLINGHAMS	dil0 ling0 hxxm0
DILLINGS	dil0 ling2
DILLINGTON	dil0 ling0 tan2
DILLION	dil0 laaj0 en3
DILLMAN	dil1 mxxn0
DILLMANN	dil1 maan0
DILLS	dil0
DILLSBURG	dil0 sa1 bqqk1
DILLSBURGERS	dil0 sa1 bqq0 kqq2
DILLWORTH	dil0 wqqt1
DILLWORTHS	dil0 wqqt1
DILLY	dil0 lii2
DILLYDALLIED	dil0 li3 dxx0 li3 it1
DILLYDALLIES	dil0 li3 dxx0 lis3
DILLYDALLY	dil0 li3 dxx0 lii2
DILLYDALLYING	dil0 li3 dxx0 li3 ing2
DILLYING	dil0 li3 ing2
DILLYS	dil0 lis2
DILUENT	dil0 juu0 en3
DILUENTS	dil0 juu0 en3
DILUTE	dii0 luut1
DILUTED	dii0 luut3 thet1
DILUTEDLY	dii0 luut3 thet1 lii2
DILUTEDNESS	dii0 luut3 thet1 nees1
DILUTEE	dii0 luu0 tii2
DILUTEES	dii0 luu0 tii2
DILUTER	dii0 luut3 thqq2
DILUTERS	dii0 luut3 tqq2
DILUTES	dii0 luut3 thes1
DILUTING	dii0 luut3 thing2
DILUTION	dii0 luu0 chan0
DILUTIONS	dii0 luu0 chan0
DILUVIA	dii0 luu0 wqq2
DILUVIAL	dii0 luu0 wiial0
DILUVIAN	dii0 luu0 wiian2
DILUVIANISM	dii0 luu0 wiian2 nis3 svm2
DILUVION	dii0 luu0 wiian2
DILUVIUM	dii0 luu0 wiiam2
DIM	dim0
DIMARE	dim0 maa2
DIMARIA	dim0 maa0 riia0
DIMARIAS	dim0 maa0 riias2
DIMARK	dim0 maak3
DIMAURA	dim0 m@@0 rqq2
DIMBAR	dim0 baa2
DIMBER	dim0 bqq2
DIMBERG	dim0 bqqk1
DIMBLE	dim0 bql2
DIMBLEBY	dim0 blee0 bii2
DIMBLEBYS	dim0 blee0 bii2
DIME	daam0
DIMEING	daam0 ming2
DIMENSION	daaj0 men0 chan0
DIMENSIONAL	daaj0 men0 chan0 nal0
DIMENSIONALITIES	daaj0 men0 chan0 nal0 li3 tii2
DIMENSIONALITY	daaj0 men0 chan0 nal0 li3 tii2
DIMENSIONALLY	daaj0 men0 chan0 neel0 laaj0
DIMENSIONED	daaj0 men0 chan0 nit1
DIMENSIONING	daaj0 men0 chan0 ning2
DIMENSIONLESS	daaj0 men0 chan0 les1
DIMENSIONS	daaj0 men0 chan0
DIMENSIVE	daaj0 men0 siif1
DIMENSTEIN	daaj0 men0 sa1 thaaj0
DIMENT	daaj0 men3
DIMENTIA	daaj0 men0 chiia0
DIMENTION	daaj0 men0 chan0
DIMENTIONLESS	daaj0 men0 chan0 nal0 les1
DIMENTIONS	daaj0 men0 chan0
DIMENTO	daaj0 men0 too2
DIMER	dii0 mqq2
DIMERCURIAL	dii0 mql0 kuu0 riial0
DIMERCURIC	dii0 mql0 kuu0 rik1
DIMERCURIO	dii0 mql0 kuu0 rii0 oo2
DIMERS	dii0 mqs2
DIMES	dii0 mes1
DIMETAN	dii0 mi3 thqn2
DIMETER	dii0 mi3 thqq2
DIMETERS	dii0 mi3 tqq2
DIMETRY	dii0 mi3 thrii2
DIMICK	dii0 mik1
DIMIDIATE	dii0 mi3 daaj0 eet1
DIMIDIATING	dii0 mi3 daaj0 eet1 ting2
DIMIDIATION	dii0 mi3 daaj0 eet1 chan0
DIMING	daaj0 ming2
DIMINISH	dii0 mi3 nich1
DIMINISHABLE	dii0 mi3 nich3 chqq0 bql2
DIMINISHABLENESS	dii0 mi3 nich3 chqq0 bql2 nees1
DIMINISHED	dii0 mi3 nich3 chit1
DIMINISHER	dii0 mi3 nich3 chqq2
DIMINISHES	dii0 mi3 nich3 ches1
DIMINISHING	dii0 mi3 nich3 ching2
DIMINISHINGLY	dii0 mi3 nich3 ching2 lii2
DIMINISHMENT	dii0 mi3 nich3 men3
DIMINISHMENTS	dii0 mi3 nich3 men3
DIMINUATION	dii0 mi3 nuu0 ee0 chan0
DIMINUATIVE	dii0 mi3 nuu0 ee0 thiif1
DIMINUENDA	dii0 mi3 nuu0 een0 daa2
DIMINUENDO	dii0 mi3 nuu0 een0 doo2
DIMINUENDOED	dii0 mi3 nuu0 een0 doo0 it1
DIMINUENDOS	dii0 mi3 nuu0 een0 doos2
DIMINUTE	dii0 mi3 nuu0 et1
DIMINUTION	dii0 mi3 nuu0 chan0
DIMINUTIONAL	dii0 mi3 nuu0 chan0 nal0
DIMINUTIONS	dii0 mi3 nuu0 chan0
DIMINUTIVE	dii0 mi3 nuu0 thiif1
DIMINUTIVELY	dii0 mi3 nuu0 thiif1 lii2
DIMINUTIVENESS	dii0 mi3 nuu0 thiif1 nees1
DIMINUTIVES	dii0 mi3 nuu0 thiif1
DIMINUTIVISES	dii0 mi3 nuu0 thi1 wi3 ses1
DIMINUTIVIZE	dii0 mi3 nuu0 thi1 waaj3
DIMINUTIVIZES	dii0 mi3 nuu0 thi1 waaj0 ses1
DIMITROV	dii0 mi3 thr@f3 
DIMITROVS	dii0 mi3 thr@f3 
DIMITROVSKY	dii0 mi3 thr@f3 kii2
DIMITY	dii0 mi3 tii2
DIMLY	dim0 lii2
DIMMABLE	dim0 mee0 bql2
DIMMED	dim0 mit1
DIMMER	dim0 mqq2
DIMMERS	dim0 mqs2
DIMMEST	dim0 mes3
DIMMET	dim0 met1
DIMMICK	dim0 mik1
DIMMING	dim0 ming2
DIMMISH	dim0 mich3 
DIMMIT	dim0 mit1
DIMMITT	dim0 mit3
DIMMOCK	dim0 m@k3
DIMNER	dim0 nqq2
DIMNESS	dim0 nees1
DIMOUT	dim0 maw3
DIMOUTS	dim0 maw3
DIMPER	dim0 phqq2
DIMPLE	dim0 phql2
DIMPLED	dim0 phql0 lit1
DIMPLEMENT	dim0 phli3 men3
DIMPLES	dim0 phql3
DIMPLEX	dim0 phlek1
DIMPLING	dim0 phling2
DIMPLY	dim0 phlii2
DIMS	dim3
DIMSDALE	dim0 sa1 deel0
DIMSEY	dim0 sii2
DIMSON	dim0 san2
DIMWIT	dim0 wit3
DIMWITS	dim0 wit3
DIMWITTED	dim0 wit3 thet1
DIMWITTEDNESS	dim0 wit3 thet1 nees1
DIN	din2
DINAN	dii0 nxxn2
DINANT	dii0 nxxn3
DINAR	dii0 naa2
DINARD	dii0 naat1
DINARS	dii0 naas2
DINDA	din0 daa2
DINDINGER	din0 ding0 ngqq2
DINDINS	din0 din2
DINDISC	din0 dis3
DINDLE	din0 dql2
DINDON	din0 d@@n2
DINDONS	din0 d@@n2
DINE	daaj0
DINEAGE	daaj0 neet1
DINED	daaj0 nit1
DINEHART	daaj0 haat3
DINER	daaj0 nqq2
DINERMAN	daaj0 nql0 mxxn0
DINERS	daaj0 nees1
DINES	daaj0
DING	ding0
DINGALL	ding0 koo02
DINGBAT	ding0 bxt3
DINGBATS	ding0 bxt3
DINGDONG	ding0 d@@ng0
DINGDONGED	ding0 d@@ng0 kit1
DINGDONGS	ding0 d@@ng0
DINGED	ding0 kit1
DINGEE	ding0 cii2
DINGEL	ding0 ceel0
DINGELL	ding0 ceel0
DINGELLS	ding0 ceel0
DINGER	ding0 cqq2
DINGERS	ding0 cqs2
DINGES	ding2 ces1
DINGESES	ding0 cis2 ses1
DINGESS	ding0 ces1
DINGEY	ding0 kii2
DINGEYS	ding0 kii2
DINGHAM	ding0 kxxm2
DINGHIES	ding0 kis2
DINGHY	ding0 kii2
DINGHYS	ding0 kii2
DINGIER	ding0 caaj0 qq2
DINGIEST	ding0 ci1 es1
