PA	phaa0
PORTHCAWL	ph@@t3 kh@@l0
PORTHMADOG	ph@@t3 mxt3 d@k3
PORTHOLE	ph@@t3 hool0
PORTHOLES	ph@@t3 hool0 les1
PORTHOUSE	ph@@t3 haaw3
PORTIC	ph@@t3 tik1
PORTICE	ph@@t3 thaj3
PORTICO	ph@@t3 thi1 khoo2
PORTICOES	ph@@t3 thi1 khoos3
PORTICOS	ph@@t3 thi1 kh@s3
PORTICUS	ph@@t3 thi1 khas3
PORTIFY	ph@@t3 thi1 faaj0
PORTING	ph@@t3 ting2
PORTINGALE	ph@@t3 thing0 khel2
PORTION	ph@@0 chan2
PORTIONABLE	ph@@0 chan2 nee0 bql2
PORTIONAL	ph@@0 chan2 n@l2
PORTIONALLY	ph@@0 chan2 n@l0 lii2
PORTIONATELY	ph@@0 chan2 neet3 lii2
PORTIONED	ph@@0 chan2 nit1
PORTIONER	ph@@0 chan2 nqq2
PORTIONERS	ph@@0 chan2 nqq2
PORTIONES	ph@@0 chan2 nees1
PORTIONING	ph@@0 chan2 ning2
PORTIONIZE	ph@@0 chan2 naj3
PORTIONIZES	ph@@0 chan2 naj3 ses1
PORTIONLESS	ph@@0 chan2 les1
PORTIONS	ph@@0 chan2
PORTIS	ph@@t3 this3
PORTISHEAD	ph@@t3 this3 heet3
PORTIVE	ph@@t3 thiif1
PORTLAN	ph@@t1 lan2
PORTLAND	ph@@t1 lxxn0
PORTLANDER	ph@@t1 lxxn0 dqq2
PORTLANDERS	ph@@t1 lxxn0 dqq2
PORTLANDITE	ph@@t1 lxxn0 daaj3
PORTLANT	ph@@t1 lxxn3
PORTLESS	ph@@t1 les1
PORTLET	ph@@t1 let3
PORTLIER	ph@@t1 liia0
PORTLIEST	ph@@t1 li1 es1
PORTLINESS	ph@@t1 li1 nees1
PORTLINGTON	ph@@t1 ling0 tan2
PORTLOCK	ph@@t1 l@k3
PORTLY	ph@@t1 lii2
PORTMAN	ph@@t1 mxxn0
PORTMANN	ph@@t1 mxxn0
PORTMANTEAU	ph@@t1 mxxn0 thoo2
PORTMANTEAUS	ph@@t1 mxxn0 thoos2
PORTMANTEAUX	ph@@t1 mxxn0 thoos2
PORTMANTLE	ph@@t1 mxxn0 thql2
PORTMENT	ph@@t1 men3
PORTMORE	ph@@t1 m@@2
PORTNER	ph@@t1 nqq2
PORTNICK	ph@@t1 nik3
PORTO	ph@@t1 thoo2
PORTOBELLO	ph@@t1 thoo0 beel0 loo2
PORTOLIO	ph@@t1 thoo0 lii0 oo2
PORTOR	ph@@t1 thqq2
PORTOS	ph@@t1 th@s3
PORTOSO	ph@@t1 thoo0 soo2
PORTRAIT	ph@t3 threet1
PORTRAITISED	ph@t3 threet1 thaj3 sit1
PORTRAITIST	ph@t3 threet3 this3
PORTRAITISTS	ph@t3 threet3 this3
PORTRAITS	ph@t3 threet1
PORTRAITURE	ph@t3 threet3 chqq2
PORTRATING	ph@t3 threet3 ting2
PORTRAY	ph@t3 three2
PORTRAYAL	ph@t3 three0 j@l2
PORTRAYALS	ph@t3 three0 j@l2
PORTRAYED	ph@t3 threet3
PORTRAYER	ph@t3 three0 qq2
PORTRAYERS	ph@t3 three0 qq2
PORTRAYING	ph@t3 three0 ing2
PORTRAYS	ph@t3 threes1
PORTRESS	ph@@t1 thres3
PORTRESSES	ph@@t1 thres3 ses1
PORTS	ph@@t1
PORTSIDE	ph@@t1 saj3
PORTSIDER	ph@@t1 saaj0 dqq2
PORTSMAN	ph@@t3 sa1 mxxn2
PORTSMOUTH	ph@@t3 sa1 maw3
PORTUGAL	ph@@0 thuu0 kql2
PORTUGALS	ph@@0 thuu0 kql2
PORTUGUESE	ph@@0 thuu0 kiis3
PORTWAY	ph@@t1 wee0
PORTWICH	ph@@t1 wich3
PORTWIND	ph@@t1 win0
PORTWING	ph@@t1 wing2
PORTWOOD	ph@@t1 wuut3
PORTWORKS	ph@@t1 wqqk3
POSE	phoos3
POSED	phoos3 sit1
POSEDLY	phoos3 sit3 lii2
POSER	phoos3 sqq2
POSERS	phoos3 sqq2
POSES	phoos3 ses1
POSEUR	phoos3 sqq2
POSEURS	phoos3 sqq2
POSH	ph@ch3
POSHED	ph@ch3 chit1
POSHER	ph@ch3 chqq2
POSHES	ph@ch3 ches1
POSHEST	ph@ch3 ches1
POSHING	ph@ch3 ching2
POSHNESS	ph@ch3 nees1
POSIES	phoos3 sii2
POSING	phoos3 sing2
POSINGLY	phoos3 sing2 lii2
POSINGS	phoos3 sing2
POSIT	phoo0 sit1
POSITE	phoo0 saj3
POSITED	phoo0 saj3 thet1
POSITING	phoo0 saj3 ting2
POSITION	phoo0 si3 chan2
POSITIONAL	phoo0 si3 chan2 n@l2
POSITIONALITIES	phoo0 si3 chan2 n@l0 li1 tii2
POSITIONALITY	phoo0 si3 chan2 n@l0 li1 tii2
POSITIONALLY	phoo0 si3 chan2 n@l2 lii2
POSITIONED	phoo0 si3 chan2 nit1
POSITIONER	phoo0 si3 chan2 nqq2
POSITIONERS	phoo0 si3 chan2 nqq2
POSITIONING	phoo0 si3 chan2 ning2
POSITIONINGS	phoo0 si3 chan2 ning2
POSITIONLESS	phoo0 si3 chan2 les1
POSITIONS	phoo0 si3 chan2
POSITIVE	phoo0 si3 thif1
POSITIVELY	phoo0 si3 thif3 lii2
POSITIVENESS	phoo0 si3 thif3 nees1
POSITIVER	phoo0 si3 thif3 wqq2
POSITIVES	phoo0 si3 thif3 wes1
POSITIVIES	phoo0 si3 thi3 wis3
POSITIVISES	phoo0 si3 thi3 wis3 ses1
POSITIVISM	phoo0 si3 thi3 wis3 svm2
POSITIVIST	phoo0 si3 thi3 wis3
POSITIVISTIC	phoo0 si3 thi3 wis3 tik1
POSITIVISTICALLY	phoo0 si3 thi3 wis3 tik1 kh@l2 lii2
POSITIVISTS	phoo0 si3 thi3 wis3
POSITIVITY	phoo0 si3 thi3 wi1 tii2
POSITIVIZE	phoo0 si3 thi1 waaj3
POSITIVIZES	phoo0 si3 thi1 waaj3 ses1
POSITOR	phoo0 si3 thqq2
POSITRON	phoo0 si3 tr@n0
POSITRONS	phoo0 si3 tr@n0
POSITS	phoo0 sit1
POSSE	phoos3 sii2
POSSED	phoos3 sit1
POSSEES	phoos3 sii2
POSSER	phoos3 sqq2
POSSES	phoos3 ses1
POSSESED	phoos3 ses3 sit1
POSSESES	phoos3 ses3 ses1
POSSESING	phoos3 ses3 sing2
POSSESS	phoos3 ses1
POSSESSABLE	phoos3 ses3 sa1 bql2
POSSESSED	phoos3 ses3 sit1
POSSESSES	phoos3 ses3 ses1
POSSESSING	phoos3 ses3 sing2
POSSESSINGLY	phoos3 ses3 sing2 lii2
POSSESSION	phoos3 ses3 chan2
POSSESSIONAL	phoos3 ses3 chan2 n@l2
POSSESSIONALISM	phoos3 ses3 chan2 n@l2 lis3 svm2
POSSESSIONALIST	phoos3 ses3 chan2 n@l2 lis3
POSSESSIONATE	phoos3 ses3 chan2 neet1
POSSESSIONED	phoos3 ses3 chan2 nit1
POSSESSIONER	phoos3 ses3 chan2 nqq2
POSSESSIONES	phoos3 ses3 chan2 nees1
POSSESSIONLESS	phoos3 ses3 chan2 les1
POSSESSIONLESSNESS	phoos3 ses3 chan2 les3 nees1
POSSESSIONS	phoos3 ses3 chan2
POSSESSIVE	phoos3 ses3 siif1
POSSESSIVELY	phoos3 ses3 siif1 lii2
POSSESSIVENESS	phoos3 ses3 siif1 nees1
POSSESSIVES	phoos3 ses3 siif1
POSSESSOR	phoos3 ses3 sqq2
POSSESSORS	phoos3 ses3 sqq2
POSSESSORSHIP	phoos3 ses3 sqq2 chip3
POSSESSORY	phoos3 ses3 sqq0 rii2
POSSEST	ph@s3 ses3
POSSET	ph@s3 set3
POSSETING	ph@s3 set3 ting2
POSSETS	ph@s3 set1
POSSIBILIES	ph@s3 si1 bi1 lii2
POSSIBILISM	ph@s3 si1 bi1 lis3 svm2
POSSIBILIST	ph@s3 si1 bi1 lis3
POSSIBILISTIC	ph@s3 si1 bi1 lis3 tik1
POSSIBILITATE	ph@s3 si1 bi1 li1 theet1
POSSIBILITIES	ph@s3 si1 bi1 li1 thii2
POSSIBILITY	ph@s3 si1 bi1 li1 tii2
POSSIBLE	ph@s3 si1 bql2
POSSIBLENESS	ph@s3 si1 bql2 nees1
POSSIBLER	ph@s3 si1 blqq2
POSSIBLES	ph@s3 si1 bql2
POSSIBLY	ph@s3 si1 blii2
POSSUM	ph@s3 sam2
POSSUMS	ph@s3 sam2
POST	phoos3
POSTAGE	phoos3 theec1
POSTAGES	phoos3 sa1 theec3 ces1
POSTAL	phoos3 thql2
POSTALLY	phoos3 thql2 lii2
POSTALS	phoos3 thql2
POSTAXIAL	phoos3 thxk3 siial2
POSTBAG	phoos3 bxk3
POSTBAGS	phoos3 bxk3
POSTBANK	phoos3 bxxng3
POSTBANKRUPTCY	phoos3 bxxng3 rap3 sii2
POSTBELLUM	phoos3 beel0 lam2
POSTBOX	phoos3 b@k3
POSTBOXES	phoos3 b@k3 ses1
POSTBOY	phoos3 b@@j0
POSTBOYS	phoos3 b@@j0
POSTCARD	phoos3 khaat3
POSTCARDINAL	phoos3 khaa0 di1 nal2
POSTCARDS	phoos3 khaat3
POSTCART	phoos3 khaat3
POSTCARTILAGINOUS	phoos3 khaat3 thi1 lee0 ci1 niias2
POSTCLASSICAL	phoos3 klxxs3 si1 kh@l2
POSTCODE	phoos3 khoot3
POSTCODED	phoos3 khoot3 det1
POSTCODES	phoos3 khoot3 des1
POSTCONDITION	phoos3 kh@n0 di1 chan2
POSTCONDITIONS	phoos3 kh@n0 di1 chan2
POSTCONSONANTAL	phoos3 kh@n0 san0 nxxn0 thql2
POSTCONVALESCENT	phoos3 kh@n0 wa1 les3 sen3
POSTCONVALESCENTS	phoos3 kh@n0 wa1 les3 sen3
POSTCRASH	phoos3 khrxch3
POSTDATE	phoos3 deet1
POSTDATED	phoos3 deet3 thet1
POSTDATES	phoos3 deet3 thes1
POSTDATING	phoos3 deet3 ting2
POSTDIGESTIVE	phoos3 daaj0 ces3 thiif1
POSTDOCTOR	phoos3 d@k3 thqq2
POSTDOCTORAL	phoos3 d@k3 thqq0 r@l2
POSTDOCTORALS	phoos3 d@k3 thqq0 r@l2
POSTE	phoos3
POSTED	phoos3 thet1
POSTELECTION	phoos3 til0 lek3 chan2
POSTELL	phoos3 theel0
POSTEN	phoos3 then0
POSTER	phoos3 thqq2
POSTERBOARD	phoos3 thqq2 b@@t1
POSTERERS	phoos3 thqq0 rqq2
POSTERHOLT	phoos3 thqq2 hool0
POSTERICK	phoos3 thqq0 rik3
POSTERING	phoos3 thqq0 ring2
POSTERIOR	phoos3 thqq0 riia0
POSTERIORI	phoos3 thqq0 ri3 oo0 rii2
POSTERIORISTIC	phoos3 thqq0 ri3 oo0 ris3 tik1
POSTERIORISTICALLY	phoos3 thqq0 ri3 oo0 ris3 tik1 kh@l0 lii2
POSTERIORITY	phoos3 thqq0 ri3 oo0 ri3 tii2
POSTERIORIZED	phoos3 thqq0 ri3 oo0 raj3 sit1
POSTERIORIZING	phoos3 thqq0 ri3 oo0 raj3 sing2
POSTERIORS	phoos3 thqq0 riias2
POSTERITIES	phoos3 thqq0 ri1 tii2
POSTERITY	phoos3 thqq0 ri1 tii2
POSTERMAN	phoos3 thqq0 mxxn2
POSTERN	phoos3 thqn2
POSTERNS	phoos3 thqn2
POSTEROUS	phoos3 thq1 ras3
POSTERS	phoos3 thqq2
POSTES	phoos3 thes1
POSTFACES	phoos3 fees3 ses1
POSTFILTER	phoos3 fil0 tqq2
POSTFILTERING	phoos3 fil0 tqq0 ring2
POSTFIX	phoos3 fik3
POSTFIXED	phoos3 fik3 sit1
POSTFIXES	phoos3 fik3 ses1
POSTFIXING	phoos3 fik3 sing2
POSTFOCAL	phoos3 foo0 kh@l2
POSTFORMED	phoos3 f@@m0 mit1
POSTFORMS	phoos3 f@@m0
POSTGAME	phoos3 keem0
POSTGATE	phoos3 keet1
POSTGLACIAL	phoos3 klee0 siial2
POSTGRADUATE	phoos3 krxt3 duu0 eet1
POSTGRADUATES	phoos3 krxt3 duu0 eet3 thes1
POSTGRADUATION	phoos3 krxt3 duu0 ee0 chan2
POSTHASTE	phoos3 hees3
POSTHOLDER	phoos3 hool0 dqq2
POSTHOLDERS	phoos3 hool0 dqq2
POSTHOLE	phoos3 hool0
POSTHOLES	phoos3 hool0
POSTHOUSE	phoos3 haaw3
POSTHUMOUS	phoos3 hiw0 mqs3
POSTHUMOUSLY	phoos3 hiw0 mqs3 lii2
POSTHUMOUSNESS	phoos3 hiw0 mqs3 nees1
POSTHUMUS	phoos3 hiw0 mas3
POSTHYPNOTIC	phoos3 hip3 n@t3 thik1
POSTHYPNOTICALLY	phoos3 hip3 n@t3 thi1 kh@l0 lii2
POSTIA	phoos3 thiia0
POSTIC	phoos3 thik1
POSTICAL	phoos3 thik3 kh@l2
POSTICALLY	phoos3 thi1 kh@l0 lii2
POSTICHE	phoos3 thich3
POSTIL	phoos3 thil0
POSTILIO	phoos3 thil0 lii0 oo2
POSTILION	phoos3 thil0 liian2
POSTILIONED	phoos3 thil0 liian2 nit1
POSTILIONS	phoos3 thil0 liian2
POSTILLATE	phoos3 thil0 leet1
POSTILLATION	phoos3 thil0 lee0 chan2
POSTILLATOR	phoos3 thil0 lee0 thqq2
POSTILLION	phoos3 thil0 liian2
POSTILLIONS	phoos3 thil0 liian2
POSTING	phoos3 ting2
POSTINGLY	phoos3 ting2 lii2
POSTINGS	phoos3 ting2
POSTITION	phoos3 thi1 chan2
POSTITIONS	phoos3 thi1 chan2
POSTIVE	phoos3 thiif1
POSTIVELY	phoos3 thiif1 lii2
POSTLES	phoos3 les1
POSTLESS	phoos3 les1
POSTLEXICAL	phoos3 lek3 si1 kh@l2
POSTLEY	phoos3 lii2
POSTLIKE	phoos3 laj3
POSTMA	phoos3 maa2
POSTMAN	phoos3 mxxn0
POSTMANIACAL	phoos3 mxx0 niia0 kh@l2
POSTMANSHIP	phoos3 mxxn0 chip3
POSTMARK	phoos3 maak3
POSTMARKED	phoos3 maak3 khit1
POSTMARKER	phoos3 maak3 kqq2
POSTMARKETING	phoos3 maa0 ket3 ting2
POSTMARKING	phoos3 maak3 king2
POSTMARKS	phoos3 maak3
POSTMARQUE	phoos3 maak3
POSTMAS	phoos3 mas3
POSTMASTER	phoos3 maas3 thqq2
POSTMASTERS	phoos3 maas3 thqq2
POSTMASTERSHIP	phoos3 maas3 thqq2 chip3
POSTMEN	phoos3 men0
POSTMENSTRUAL	phoos3 men0 sa1 thruu0 al2
POSTMILLENNIAL	phoos3 mil0 len0 niial2
POSTMINERAL	phoos3 min0 nqq0 r@l2
POSTMINIMALIST	phoos3 mi1 ni3 m@l2 lis3
POSTMISTRESS	phoos3 mis3 threes3
POSTMISTRESSES	phoos3 mis3 threes3 ses1
POSTMODERN	phoos3 moo0 dqn2
POSTMODERNISM	phoos3 moo0 dqn2 nis3 svm2
POSTMODERNIST	phoos3 moo0 dqn2 nis3
POSTMODERNISTS	phoos3 moo0 dqn2 nis3
POSTMODERNITY	phoos3 moo0 dqn2 ni1 tii2
POSTMODERNIZATION	phoos3 moo0 dqn2 naj3 see0 chan2
POSTMODERNS	phoos3 moo0 dqn2
POSTMORTEM	phoos3 m@@0 them2
POSTMORTEMS	phoos3 m@@0 them2
POSTNASAL	phoos3 nee0 sql2
POSTNATAL	phoos3 nee0 thql2
POSTNATALLY	phoos3 nee0 thql2 lii2
POSTNET	phoos3 net3
POSTNUPTIAL	phoos3 nap2 chiial2
POSTOFFICE	phoos3 @f3 fis3
POSTOPERATIVE	phoos3 @p3 pha1 ree0 thiif1
POSTOPERATIVELY	phoos3 @p3 pha1 ree0 thiif1 lii2
POSTORBITAL	phoos3 @@0 bi1 th@l2
POSTPAID	phoos3 pheet2
POSTPONE	phoos3 phoon0
POSTPONED	phoos3 phoon0 nit1
POSTPONEMENT	phoos3 phoon0 men3
POSTPONEMENTS	phoos3 phoon0 men3
POSTPONENCE	phoos3 phoo0 nen3
POSTPONER	phoos3 phoon0 nqq2
POSTPONES	phoos3 phoon0 nees1
POSTPONING	phoos3 phoon0 ning2
POSTPOSED	phoos3 phoos3 sit1
POSTPOSITED	phoos3 phoo0 si3 thet1
POSTPOSITION	phoos3 phoo0 si3 chan2
POSTPOSITIONAL	phoos3 phoo0 si3 chan2 n@l2
POSTPOSITIONALLY	phoos3 phoo0 si3 chan2 n@l2 lii2
POSTPOSITIONS	phoos3 phoo0 si3 chan2
POSTPRACTICE	phoos3 phrxk3 this1
POSTPROCESS	phoos3 phroo0 ses1
POSTPROCESSED	phoos3 phroo0 ses3 sit1
POSTPROCESSING	phoos3 phroo0 ses3 sing2
POSTPROCESSOR	phoos3 phroo0 ses3 sqq2
POSTREL	phoos3 rel2
POSTRETIRED	phoos3 rii0 thaaj0 et2
POSTRETIREMENT	phoos3 rii0 thaaj0 men3
POSTRIDE	phoos3 raaj0
POSTRIDER	phoos3 raaj0 dqq2
POSTRIO	phoos3 rii0 oo2
POSTROOM	phoos3 ruum0
POSTS	phoos3
POSTSCRIBE	phoos3 sa1 khraj3
POSTSCRIPT	phoos3 sa1 khrip3
POSTSCRIPTS	phoos3 sa1 khrip3
POSTSEASON	phoos3 sii0 san2
POSTSEASONAL	phoos3 sii0 san2 nql2
POSTSEASONS	phoos3 sii0 san2
POSTTRAUMATIC	phoos3 throo0 mxx0 tik1
POSTTREATMENT	phoos3 thriit3 men3
POSTULA	phoos3 thuu0 laa2
POSTULANCY	phoos3 thuu0 lxxn1 sii2
POSTULANT	phoos3 thuu0 lxxn0
POSTULANTS	phoos3 thuu0 lxxn0
POSTULATABLE	phoos3 thuu0 lqt3 thee0 bql2
POSTULATE	phoos3 thuu0 leet1
POSTULATED	phoos3 thuu0 leet3 thet1
POSTULATES	phoos3 thuu0 leet3 thes1
POSTULATING	phoos3 thuu0 leet3 ting2
POSTULATION	phoos3 thuu0 lee0 chan2
POSTULATIONAL	phoos3 thuu0 lee0 chan2 n@l2
POSTULATIONS	phoos3 thuu0 lee0 chan2
POSTULATOR	phoos3 thuu0 lee0 thqq2
POSTULATORY	phoos3 thuu0 lee0 tha1 rii2
POSTULATUM	phoos3 thuu0 lee0 tham2
POSTULE	phoos3 thuul0
POSTULES	phoos3 thuul0 les1
POSTURAL	ph@s3 chqq0 r@l2
POSTURALLY	ph@s3 chqq0 r@l0 lii2
POSTURE	ph@s3 chqq2
POSTURED	ph@s3 chqq2
POSTURER	ph@s3 chqq0 rqq2
POSTURERS	ph@s3 chqq0 rqq2
POSTURES	ph@s3 chqq2
POSTURING	ph@s3 chqq0 ring2
POSTURINGLY	ph@s3 chqq0 ring0 lii2
POSTURINGS	ph@s3 chqq0 ring2
POSTURISE	ph@s3 chqq0 raj3
POSTURISES	ph@s3 chqq0 raj3 ses1
POSTURIZE	ph@s3 chqq0 raj3
POSTURIZED	ph@s3 chqq0 raj3 sit1
POSTURIZES	ph@s3 chqq0 raj3 ses1
POSTVOCALIC	phoos3 woo0 kh@l0 lik1
POSTWAR	phoos3 w@@0
POSTWARD	phoos3 waat1
POSTWISE	phoos3 waaj3
POSTWORLD	phoos3 wqql2
POSY	phoo0 sii2
POT	ph@t3
POTABILITY	ph@t3 tha1 bi1 li3 tii2
POTABLE	ph@t3 thee0 bql2
POTABLENESS	ph@t3 thee0 bql2 nees1
POTABLES	ph@t3 thee0 bql2
POTAGE	ph@t3 theec1
POTAGER	ph@t3 theec3 cqq2
POTAGERS	ph@t3 theec3 cqq2
POTAGES	ph@t3 theec3 ces1
POTASH	ph@t3 thxch3
POTASHES	ph@t3 thxch3 ches1
POTASS	ph@t3 thxxs3
POTASSES	ph@t3 thxxs3 ses1
POTASSIUM	ph@t3 thxxs3 siiam2
POTATE	ph@t3 theet1
POTATER	ph@t3 theet3 tqq2
POTATION	ph@t3 thee0 chan2
POTATIONS	ph@t3 thee0 chan2
POTATIVE	ph@t3 thee0 thiif1
POTATO	pha1 thee0 thoo2
POTATOES	pha1 thee0 thoos2
POTATOR	pha1 thee0 thqq2
POTATOS	pha1 thee0 th@s3
POTBELLIED	ph@t3 beel0 lit1
POTBELLIEDS	ph@t3 beel0 lit1
POTBELLIES	ph@t3 beel0 lii2
POTBELLY	ph@t3 beel0 lii2
POTBOIL	ph@t3 b@@j0
POTBOILED	ph@t3 b@@j0 lit1
POTBOILER	ph@t3 b@@j0 lqq2
POTBOILERS	ph@t3 b@@j0 lqq2
POTBOILING	ph@t3 b@@j0 ling2
POTBOUND	ph@t3 baaw0
POTBOY	ph@t3 b@@j0
POTBOYS	ph@t3 b@@j0
POTENCES	phoo0 then0 ses1
POTENCIES	phoo0 then0 sii2
POTENCY	phoo0 then0 sii2
POTENS	phoo0 then2
POTENT	phoo0 then3
POTENTAIL	phoo0 then0 thql2
POTENTALLY	phoo0 then0 thql2 lii2
POTENTATE	phoo0 then0 theet1
POTENTATES	phoo0 then0 theet3 thes1
POTENTES	phoo0 then0 thes1
POTENTIA	phoo0 then0 chiia0
POTENTIAL	phoo0 then0 chiial2
POTENTIALISES	phoo0 then0 chiial2 laj3 ses1
POTENTIALITIES	phoo0 then0 chiial2 li1 tii2
POTENTIALITY	phoo0 then0 chiial2 li1 tii2
POTENTIALLY	phoo0 then0 chiial2 lii2
POTENTIALS	phoo0 then0 chiial2
POTENTIATE	phoo0 then0 chi1 eet1
POTENTIATED	phoo0 then0 chi1 eet3 thet1
POTENTIATES	phoo0 then0 chi1 eet3 thes1
POTENTIATING	phoo0 then0 chi1 eet3 ting2
POTENTIATION	phoo0 then0 chi1 ee0 chan2
POTENTIATOR	phoo0 then0 chi1 ee0 thqq2
POTENTIATORS	phoo0 then0 chi1 ee0 thqq2
POTENTILLA	phoo0 then0 thil0 laa2
POTENTILLAS	phoo0 then0 thil0 laas2
POTENTION	phoo0 then0 chan2
POTENTIONAL	phoo0 then0 chan2 n@l2
POTENTIONALLY	phoo0 then0 chan2 n@l0 lii2
POTENTLY	phoo0 then3 lii2
POTESTAL	phoo0 thes3 th@l2
POTESTAS	phoo0 thes3 thas3
POTESTATE	phoo0 thes3 theet1
POTHEAD	ph@t3 heet3
POTHEADS	ph@t3 heet3
POTHER	ph@t3 thqq2
POTHERED	ph@t3 thqq2 rit1
POTHERING	ph@t3 thqq2 ring2
POTHERS	ph@t3 thqq2
POTHERY	ph@t3 thqq0 rii2
POTHOLDER	ph@t3 hool0 dqq2
POTHOLDERS	ph@t3 hool0 dqq2
POTHOLE	ph@t3 hool0
POTHOLED	ph@t3 hool0 lit1
POTHOLER	ph@t3 hool0 lqq2
POTHOLERS	ph@t3 hool0 lqq2
POTHOLES	ph@t3 hool0 les1
POTHOLING	ph@t3 hool0 ling2
POTHOLM	ph@t3 hoom0
POTHOOK	ph@t3 huk3
POTHOOKS	ph@t3 huk3
POTHOUSE	ph@t3 haaw3
POTHOUSES	ph@t3 haaw3 ses1
POTHUNT	ph@t3 han3
POTHUNTER	ph@t3 han3 tqq2
POTHUNTERS	ph@t3 han3 tqq2
POTHUNTING	ph@t3 han3 ting2
POTION	ph@@0 chan2
POTIONS	ph@@0 chan2
POTLANDS	ph@t3 lxxn2
POTLATCH	ph@t3 lxch3
POTLATCHES	ph@t3 lxch3 ches1
POTLATCHING	ph@t3 lxch3 ching2
POTLESS	ph@t3 les1
POTLEY	ph@t3 lii2
POTLIKE	ph@t3 laj3
POTLINE	ph@t3 laaj0
POTLINES	ph@t3 laaj0 nees1
POTLUCK	ph@t3 lak3
POTLUCKS	ph@t3 lak3
POTMAN	ph@t3 mxxn0
POTMEN	ph@t3 men0
POTPIE	ph@t3 phaaj0
POTPIES	ph@t3 phaaj0
POTPOURRI	ph@t3 phuua0 rii2
POTPOURRIS	ph@t3 phuua0 ris3
POTS	ph@t3
POTSHARD	ph@t3 chaat3
POTSHERD	ph@t3 chqqt3
POTSHERDS	ph@t3 chqqt3
POTSHOT	ph@t3 ch@t3
POTSHOTS	ph@t3 ch@t3
POTTAGE	ph@t3 theec1
POTTAGES	ph@t3 theec3 ces1
POTTED	ph@t3 thet1
POTTEEN	ph@t3 thiin0
POTTER	ph@t3 thqq2
POTTERED	ph@t3 thqq2 rit1
POTTERER	ph@t3 thqq0 rqq2
POTTERESS	ph@t3 thqq0 res1
POTTERI	ph@t3 thqq0 rii2
POTTERIES	ph@t3 thqq0 rii2
POTTERING	ph@t3 thqq0 ring2
POTTERINGLY	ph@t3 thqq0 ring0 lii2
POTTERISH	ph@t3 thqq0 rich3
POTTERS	ph@t3 thqq2
POTTERSON	ph@t3 thqq0 san2
POTTERSVILLE	ph@t3 thqs2 wil0
POTTERY	ph@t3 thqq0 rii2
POTTIER	ph@t3 thiia0
POTTIES	ph@t3 thii2
POTTIEST	ph@t3 thi1 es1
POTTING	ph@t3 ting2
POTTINGER	ph@t3 ting0 kqq2
POTTLE	ph@t3 thql2
POTTLETON	ph@t3 thql0 tan2
POTTY	ph@t3 thii2
POUCH	phaaw3
POUCHED	phaaw0 chit1
POUCHER	phaaw0 chqq2
POUCHES	phaaw0 ches1
POUCHIEST	phaaw0 chi1 es1
POUCHING	phaaw0 ching2
POUF	phuuf3
POUFFE	phuuf3 fee2
POUFFES	phuuf3 fees1
POUFS	phuuf3
POULT	ph@@l3
POULTER	ph@@l3 thqq2
POULTERER	ph@@l3 thq1 rqq2
POULTERERS	ph@@l3 thq1 rqq2
POULTERESS	ph@@l3 thq1 res1
POULTICE	ph@@l3 thaj3
POULTICED	ph@@l3 thaj3 sit1
POULTICES	ph@@l3 thaj3 ses1
POULTICING	ph@@l3 thaj3 sing2
POULTRIES	ph@@l3 thraj3
POULTRY	ph@@l3 thrii2
POULTRYMAN	ph@@l3 thrii2 mxxn0
POULTS	ph@@l3
POUNCE	phaaw3
POUNCED	phaaw3 sit1
POUNCER	phaaw3 sqq2
POUNCERS	phaaw3 sqq2
POUNCES	phaaw3 ses1
POUNCING	phaaw3 sing2
POUNCINGLY	phaaw3 sing2 lii2
POUNCY	phaaw0 sii2
POUND	phaaw0
POUNDAGE	phaaw0 deec1
POUNDAGES	phaaw0 deec3 ces1
POUNDBERRY	phaaw0 bqq0 rii2
POUNDED	phaaw0 det1
POUNDER	phaaw0 dqq2
POUNDERS	phaaw0 dqq2
POUNDES	phaaw0 des1
POUNDIANA	phaaw0 daaj0 a1 naa2
POUNDING	phaaw0 ding2
POUNDINGLY	phaaw0 ding0 lii2
POUNDINGS	phaaw0 ding2
POUNDKEEPER	phaaw0 khiip3 phqq2
POUNDLESS	phaaw0 les1
POUNDLIKE	phaaw0 laj3
POUNDLOCKS	phaaw0 l@k3
POUNDS	phaaw0
POUNDSTOCK	phaaw0 sa1 t@k3
POUNDSTONE	phaaw0 sa1 toon0
POUR	ph@@0
POURABLE	ph@@0 ree0 bql2
POURBOIRE	ph@@0 buua0
POURBOIRES	ph@@0 buua0 res1
POURED	ph@@0 et1
POURER	ph@@0 rqq2
POURERS	ph@@0 rqq2
POURING	ph@@0 ring2
POURINGLY	ph@@0 ring2 lii2
POURPARLER	ph@@0 pha1 lqq2
POURPARLERS	ph@@0 pha1 lqq2
POURPARLEY	ph@@0 pha1 lii2
POURS	ph@@s2
POUT	phaaw3
POUTED	phaaw3 thet1
POUTER	phaaw3 thqq2
POUTERS	phaaw3 thqq2
POUTIEST	phaaw3 thi1 es1
POUTING	phaaw3 ting2
POUTINGLY	phaaw3 ting2 lii2
POUTISH	phaaw3 thich3
POUTS	phaaw3
POVERISH	ph@f3 wqq0 rich3
POVERISHMENT	ph@f3 wqq0 rich3 men3
POVERTY	ph@f3 wqq0 tii2
POWDER	phaaw0 dqq2
POWDERABLE	phaaw0 dqq0 ree0 bql2
POWDERED	phaaw0 dqt1
